soil_quality,seed_variety,fertilizer_amount_kg_per_hectare,sunny_days,rainfall_mm,irrigation_schedule,yield_kg_per_hectare,soil_ph,farm_size_hectares,pest_management_score,harvest_delay_days
78.766629,1,239.549349,101.533712,429.347367,3,698.165038,7.429774,180.310589,76.185291,13.611901
79.891721,1,97.399211,105.697372,422.071719,3,697.618991,7.055451,109.679357,75.599892,12.433459
66.015873,1,141.153402,101.712282,562.555605,3,704.305009,6.468408,54.373631,42.522042,4.992942
52.627810,1,130.986103,110.268940,431.060101,8,911.684331,6.425864,12.554086,45.757859,3.636884
70.553233,1,159.067108,101.801553,404.413767,4,853.140393,6.618961,35.783617,46.042393,8.684994
86.505499,1,255.384070,108.482503,477.741169,4,876.083846,6.595386,216.701656,66.154092,5.532341
83.851468,1,133.726290,97.196090,547.829591,6,877.425550,7.722503,13.122210,73.151931,8.169027
53.630003,1,298.469153,100.007328,489.856430,9,1069.625885,6.535053,239.875750,98.464774,10.966191
63.087073,0,274.074486,106.192497,751.675115,1,159.986719,7.082364,231.942650,97.273699,3.466249
71.006870,0,202.561232,98.797194,342.486544,5,628.799897,7.432441,210.458848,56.208785,12.801657
52.601584,1,98.175017,107.102225,465.144573,3,643.778622,6.074374,70.658166,49.303815,10.825623
51.594052,0,92.924747,83.041805,698.058349,4,223.319990,7.748589,149.892240,76.123357,12.701465
60.160920,0,213.673029,115.354692,313.629597,3,490.384205,7.406949,203.166776,62.375855,2.732213
94.654185,1,291.447210,106.667122,647.834250,6,862.451209,6.610514,107.156722,60.240561,12.048813
98.701566,0,271.848018,86.974700,544.474970,10,788.554824,6.360068,65.541261,79.941564,13.065391
57.536254,1,99.387915,96.123368,507.626014,2,546.066990,6.121862,164.280978,54.619817,12.884438
83.118013,1,119.809395,79.849546,560.026005,5,834.482462,5.723444,16.873044,82.436808,5.444524
65.172028,1,71.243085,89.531026,237.368946,5,814.879280,7.077308,71.168192,44.825628,9.874695
64.619918,0,292.302853,106.146616,471.364961,3,578.430221,7.286026,182.096438,83.391663,13.851852
94.202854,1,172.393974,103.954004,513.823555,4,700.935962,6.658726,205.564558,54.628711,7.939405
80.051757,1,251.408248,88.080530,483.406408,9,995.058006,6.780008,54.150938,94.557072,10.999343
80.051761,1,98.220652,98.878312,472.887800,7,939.664921,6.583607,58.012994,77.292032,13.306350
59.587720,1,88.440534,106.251944,464.892197,2,614.361731,5.719832,78.262466,50.198573,8.380686
56.756526,1,97.651953,115.580169,380.796902,4,741.726310,7.745971,213.748582,44.706082,9.104797
81.288567,0,151.371756,92.932962,370.867881,6,613.002253,6.097467,213.671028,87.144504,0.995892
90.176605,1,75.873804,118.046276,546.567472,3,637.710068,6.371867,133.477665,66.047097,3.139584
99.608736,1,190.356541,106.276120,588.391562,8,965.243359,7.215515,234.837967,91.239642,2.117611
50.079729,0,50.755909,119.191201,339.139952,5,534.123138,7.570230,45.322183,55.797342,8.054614
86.976787,1,274.109011,102.434116,618.302292,3,674.321371,6.211700,150.104543,65.917705,2.367612
80.431693,0,66.735649,87.014354,623.097239,4,296.141624,7.092617,52.115420,58.235550,5.472881
74.307380,0,177.737607,96.521895,450.471824,4,493.122803,5.604154,149.074972,57.089743,5.722608
75.525258,1,199.401833,102.479186,569.269508,7,879.431060,5.609588,169.578997,43.168423,12.028177
80.866241,0,210.237532,80.977829,501.652892,5,511.531698,7.478278,27.968645,58.672605,3.825050
72.606914,0,166.414398,102.418716,425.818900,6,674.443540,7.005361,119.780180,74.990293,4.816432
93.365980,1,187.398161,98.216519,447.334877,5,829.661117,5.669684,201.288689,98.038650,2.708147
81.541590,0,69.116874,87.100988,412.868825,5,437.441805,6.894101,130.245657,81.254283,10.114681
76.671397,1,183.133817,107.954644,495.116494,6,808.053648,6.408380,169.993632,82.260075,7.291631
73.598238,1,241.231362,103.608323,444.176138,5,827.504968,5.825504,33.835144,51.170616,0.629078
64.177472,1,246.762990,102.006482,621.585260,4,747.031171,7.437785,26.586800,55.187831,1.886870
99.454422,0,260.056521,90.608531,528.160241,4,465.377397,7.655134,87.052217,40.395148,2.058407
70.787270,1,109.906032,105.885799,344.249072,1,640.135592,6.018814,22.808200,66.626570,8.676973
67.919538,0,151.112346,100.984101,420.741550,4,495.242441,5.553445,176.136785,70.784575,3.045468
77.002398,1,171.181201,111.713583,589.098338,4,788.564564,6.266866,100.904275,55.195632,8.321510
67.145331,1,63.959935,101.397081,410.719113,7,867.575486,5.960080,71.780956,49.876897,2.500640
82.284384,1,86.447839,101.286518,653.812024,5,612.719645,7.226532,44.583694,67.128054,8.985815
53.003138,1,270.173509,91.902783,658.634063,2,569.857801,6.827391,32.414701,48.197449,12.266962
97.108324,0,171.713452,104.234171,576.989716,5,503.998242,6.740971,59.251711,82.432200,1.464904
86.223076,1,165.119382,111.500979,540.637869,4,697.274045,6.685346,54.855773,96.325994,8.022134
58.301817,0,257.096650,94.597072,406.066387,7,682.134289,5.548663,58.162830,52.762041,11.905806
61.532426,0,242.330702,94.838009,448.224514,5,527.864269,7.667680,122.726433,85.324017,0.310911
70.487373,1,256.092396,98.009310,420.919610,2,821.006622,6.356416,158.337977,51.684173,1.061791
75.276779,1,207.282723,93.250152,413.984894,5,888.880948,6.175774,236.262047,55.279381,1.555591
52.340318,0,245.504771,90.625438,467.225800,4,477.731138,6.975048,58.416087,53.206686,12.265279
65.440536,1,71.361119,117.138911,498.247759,7,753.684849,6.946033,101.751906,48.036096,0.203010
92.657924,1,52.644079,98.896649,549.368809,3,589.412240,5.591531,28.450833,77.220758,0.201831
84.639172,1,169.315874,90.039048,509.298364,1,592.915701,6.745353,247.746142,94.323634,5.567179
85.781673,1,153.684664,98.789590,536.627884,1,594.438833,5.805809,178.773933,92.463283,11.657780
65.298280,1,103.960315,79.223830,646.202351,7,727.429245,7.681949,39.232785,58.765146,13.509038
75.707757,1,120.757831,81.302418,589.594934,5,716.989393,7.301286,181.484616,69.302026,5.134254
50.533110,0,142.410494,101.603736,481.885660,4,340.652837,7.232839,122.322262,99.273743,10.989827
80.956678,0,277.480541,116.953723,495.364765,7,759.162509,6.903815,247.633663,95.118815,1.504933
80.064145,1,260.836828,105.772927,489.079049,3,875.242350,7.681853,235.264346,69.840903,0.695934
98.809538,1,257.273629,107.324491,413.021076,7,1092.591410,6.893395,137.340289,85.928563,1.161873
74.821997,0,241.766776,92.228599,530.793296,2,418.559161,6.695235,203.911113,75.605612,10.246338
91.917475,1,76.589337,94.468285,406.134924,3,715.265124,6.128710,182.773155,91.657567,12.814338
65.231141,1,81.751998,90.050922,496.804850,7,761.332534,7.464351,124.330102,78.736501,12.382622
61.900757,0,148.530584,106.744587,492.733604,7,545.561569,6.475361,141.666123,88.092885,4.871361
89.499923,1,173.561080,94.040253,596.525535,6,892.278270,6.527877,96.118720,76.301539,10.655516
60.411211,1,281.249988,103.062419,596.453265,2,689.774291,7.426600,115.818052,82.803629,9.389450
65.560709,1,104.286726,98.410529,514.697450,8,897.758617,7.221150,199.333326,47.624162,9.139479
57.548250,1,188.282145,104.688838,494.211870,5,805.031692,7.503375,112.713324,88.328868,13.327469
54.089654,1,105.073037,94.948007,415.761867,3,649.531417,7.554107,93.738836,69.916918,11.538737
60.206102,1,91.599765,101.251170,455.360827,5,744.766933,6.789100,73.808360,72.330758,3.424374
56.845014,1,106.484302,112.875982,550.383370,4,728.806133,6.239804,31.125658,86.823448,4.379716
99.134492,1,240.415107,93.275286,499.710207,12,1239.454383,7.605967,162.307330,47.326902,2.485246
50.410038,1,79.556341,78.678878,709.700365,5,552.585339,7.240055,54.332294,95.191947,12.388444
71.147122,1,177.209810,104.186614,529.641924,14,1173.924748,5.601476,174.170170,54.686852,9.657202
62.935954,1,50.450424,99.102881,479.267322,3,548.600234,6.508055,42.928939,72.382817,3.913120
56.975260,1,242.571370,94.950241,491.202437,4,859.809546,5.891697,218.046460,58.355462,13.176528
61.387975,0,106.168694,91.763234,378.124134,12,762.479033,7.093904,19.450279,59.110500,9.761106
99.885300,0,66.374597,92.343439,493.139092,2,322.457660,5.614438,186.069863,62.202947,4.385627
97.441085,0,135.828336,108.704966,371.507788,10,841.605104,5.599535,135.837423,87.502385,2.478979
90.765726,1,109.458032,100.702401,561.543177,4,827.398348,6.087531,177.223015,42.661804,3.521992
54.175735,0,55.932089,106.637252,491.653043,8,419.643324,7.357160,80.932547,45.316875,8.948261
69.811566,1,276.478150,75.892133,401.202411,8,1060.856003,7.491378,170.019488,84.224293,7.049216
96.544379,1,124.336062,115.378501,218.607833,7,1015.835040,7.154073,204.102306,54.019261,0.440891
84.786751,1,57.904474,96.269871,545.218290,3,615.323888,7.694938,172.275186,87.317547,1.975409
80.830922,1,108.415733,111.653380,490.822885,6,828.785851,5.860741,143.511489,48.156989,11.328224
65.284769,1,264.333531,101.972312,468.749993,10,1176.213164,6.615770,96.569275,44.864203,7.726144
66.475181,0,288.727023,101.000783,618.334472,3,396.040632,6.631162,43.408906,98.435239,6.109839
76.011269,1,211.901647,104.424598,232.821447,5,980.038666,6.239561,147.880029,82.975545,12.393612
96.004027,0,58.306688,107.738602,344.785898,5,540.272755,7.716506,10.956155,73.535081,7.750484
79.593893,1,273.753259,99.483680,470.383360,4,848.395364,6.125252,211.374745,52.747845,0.894190
56.374355,1,291.000258,104.494643,379.951909,8,1011.217126,7.105559,133.223193,45.945529,1.629267
62.860205,1,160.902759,87.536534,537.666386,5,678.466264,6.640789,129.965333,62.565664,13.097163
95.883959,0,159.508179,77.171138,633.421188,4,323.156932,7.048459,247.790824,41.304683,10.295146
75.242936,1,189.928052,86.974070,641.774633,6,669.617376,6.362493,61.049261,82.500322,6.807909
77.443799,1,164.514090,82.977101,555.141233,1,559.379098,6.262153,69.090144,73.552290,8.102060
56.142901,0,57.770083,73.430570,460.075644,5,292.706740,6.912186,164.247353,68.078128,0.670476
86.864557,1,263.089272,93.159060,462.941366,7,961.323766,6.875752,111.707428,63.646476,2.255989
51.974500,1,191.748373,98.893939,451.240111,2,715.309008,7.189648,8.515672,58.080841,9.784350
79.565118,0,235.187686,94.283360,599.531402,4,450.125742,5.815790,28.474086,51.587681,12.235444
61.627480,0,115.337430,88.086184,339.682007,5,421.368476,6.775248,102.170090,49.972854,12.359444
92.814627,1,212.057063,88.963396,528.108932,2,728.403236,5.913443,173.555920,41.688600,5.405034
83.572819,1,55.611951,101.918521,417.339143,1,674.356486,6.734024,82.178063,64.444287,9.251430
57.971120,1,222.717158,95.271203,510.847184,4,686.102401,7.715200,53.341452,89.441528,1.026666
66.765170,1,230.842941,110.868996,485.551187,5,912.727336,6.327046,120.248825,57.516159,13.695617
52.973621,1,181.566536,121.341282,466.698913,6,798.080170,5.870029,234.006788,76.421294,11.082040
97.554462,1,153.244525,97.287548,525.977804,2,672.149814,7.257109,125.590632,64.090466,3.806604
81.973139,1,263.817436,112.031014,543.863565,4,823.078944,5.875308,202.462922,67.201332,13.911598
88.047094,0,74.940499,95.682628,411.514135,7,621.658197,6.916029,52.111367,73.796587,11.470406
98.080306,1,196.927377,93.707166,391.802975,6,982.107212,6.353222,242.896144,93.011313,8.441370
63.718837,1,152.083762,89.642363,271.623121,2,732.301672,7.566057,114.328501,55.506453,0.841939
83.528340,1,170.492843,122.453175,566.041560,6,895.837465,6.617625,129.030201,85.468481,3.361549
81.331838,1,192.995637,107.827249,441.529356,8,984.397159,6.714493,104.053924,60.944947,0.467099
55.435028,1,230.262051,94.354676,399.241327,3,838.135247,7.456386,167.030748,66.675777,12.380997
78.741272,0,295.523063,96.135912,361.601994,12,953.799369,5.569715,148.793343,52.358522,12.339603
50.150342,1,103.504600,102.558749,498.151241,2,452.084199,7.450658,245.514859,99.825683,0.081507
76.616032,0,85.057411,105.519659,531.692053,6,449.380065,6.811369,62.608176,61.120404,0.115858
51.177522,1,65.928928,102.116022,545.237257,6,699.330666,5.933182,55.287486,70.652933,7.940117
74.626409,1,217.659390,115.868669,545.069117,5,865.704012,6.246628,243.688758,97.727162,10.962493
86.499528,0,290.136161,90.329890,331.550124,7,743.990857,7.169863,120.773011,84.648659,5.990360
78.892700,1,124.667533,86.963991,681.331577,6,711.464977,6.343359,201.376913,63.824272,6.329715
94.216211,0,66.064015,104.414996,478.691376,4,338.457307,6.315793,216.355043,99.426813,13.557072
53.771190,0,211.635656,115.718796,523.919890,4,462.492665,5.924320,35.888671,61.577745,11.915154
89.601542,1,223.160609,103.281985,368.807866,7,1049.209381,7.618625,171.409061,80.105947,1.212988
76.224645,1,256.107659,97.558729,377.438338,4,831.670083,5.810073,109.091986,63.555517,9.290709
51.356869,1,141.622319,97.381275,473.922361,9,970.654128,7.428454,177.258087,46.577217,13.861462
55.897384,1,168.582833,96.890164,465.976383,12,1067.139894,7.593723,249.209716,78.522061,11.931367
72.039580,1,166.334837,116.353310,489.188302,5,735.359995,6.230805,63.226846,75.598001,8.839217
81.468043,1,149.064915,96.856580,235.451594,4,932.465551,6.125123,150.338019,99.846169,6.594032
56.750423,1,212.165948,97.610102,577.069531,7,818.059935,7.316271,213.098142,56.501640,2.341693
62.284211,0,143.574496,104.535114,588.951982,7,477.886673,6.391465,246.444948,85.848721,2.810853
73.998122,1,110.248714,97.784941,495.638417,5,720.319177,6.424196,245.665940,67.277537,2.050214
59.371508,0,126.785657,84.013182,462.205705,6,444.516647,7.799730,15.199709,85.872904,13.209590
94.213199,0,107.723544,92.261001,547.664248,3,333.610104,6.446783,212.256429,76.315484,2.106570
70.251781,1,89.442480,94.520890,523.332656,4,681.050375,6.802129,229.593645,99.265015,11.322886
80.577989,1,265.860892,87.814105,286.568927,7,1075.331718,5.676550,249.242496,44.895104,4.052874
79.701372,0,255.830798,89.215965,563.187383,4,495.926586,6.321065,243.934344,73.239956,5.716146
65.162579,1,199.795607,108.276762,553.225705,3,668.947479,7.635694,149.505867,62.401911,0.720993
60.447960,1,169.819243,103.340830,437.087666,4,682.454485,6.513314,169.664508,45.672842,7.266663
99.785652,1,61.832412,103.103461,410.253746,2,557.914831,7.177172,212.060128,62.245695,2.766206
87.656436,1,195.674395,102.150626,389.971854,5,916.070197,7.689807,19.906201,67.997855,11.380332
91.866319,1,155.718526,108.581354,380.502229,6,943.857199,7.254509,242.003873,99.664240,13.879587
75.799683,1,230.086547,125.718021,357.618846,4,888.210632,7.273306,14.676425,82.514886,8.809198
63.332181,0,257.156084,93.874418,472.437479,3,429.937917,6.776766,39.029371,76.510543,3.247082
68.933983,1,54.944703,96.624958,400.176418,4,667.723265,7.284752,146.303968,62.988413,4.432272
59.569468,1,89.313726,121.793833,539.678221,11,1017.646952,6.573355,246.261072,73.964801,8.261310
58.267860,0,67.667189,107.161750,511.366600,5,419.827571,6.875077,189.314283,87.461996,11.681264
95.679188,1,219.046298,86.738181,459.737139,3,789.530113,7.711536,39.626172,92.056313,10.929957
56.703815,1,142.636319,99.732591,648.107878,3,515.111656,7.104649,176.254975,47.627131,6.497088
91.058890,0,171.230812,99.478161,332.501218,4,633.768777,7.119543,111.004920,85.949750,1.035000
69.160659,0,93.213802,97.340872,406.590327,7,542.198656,7.340118,247.427645,71.647211,11.426688
50.251856,1,291.857253,95.770897,470.334243,7,953.003832,5.817531,222.792845,78.399409,6.542920
71.556537,0,257.734203,95.248152,491.520927,5,629.612201,7.259827,188.522312,63.432031,10.119698
56.029165,1,78.639838,100.971411,489.605489,6,802.724633,7.713122,50.996958,55.722533,6.867320
56.077633,0,288.918135,105.622627,496.232130,5,655.585148,5.721254,85.309573,43.712519,4.123580
69.537000,1,134.929840,87.697017,412.442403,5,799.511670,7.598950,155.753331,66.708300,0.268681
82.802187,1,194.826443,100.291998,334.107708,5,893.650771,6.705069,189.757421,58.573522,13.762113
61.771381,1,230.838518,89.392714,458.783885,7,1043.569183,6.283903,239.915074,61.771996,0.403302
89.554153,1,114.446972,87.648648,339.949361,8,996.289148,7.773098,27.774493,73.557936,12.889641
78.257367,0,272.392830,95.100649,551.850273,7,630.302385,6.663270,233.053414,52.081510,3.594485
51.563909,1,272.992885,100.079053,739.758137,2,615.323617,7.734940,24.764655,69.660170,6.377151
81.530426,0,129.927232,89.684771,501.168691,5,403.311028,7.038436,16.573425,53.770873,4.590605
58.890485,1,192.474379,104.932008,521.183661,3,582.409720,5.958751,164.490563,86.082817,5.371120
97.678130,1,163.663154,87.086004,495.192010,4,807.823449,7.409619,171.779419,50.715227,4.269462
76.213693,0,199.294586,100.921196,405.145670,4,471.918338,6.818912,146.458813,67.917210,7.243853
58.569938,1,128.732851,110.453416,332.966765,6,878.349379,6.210208,135.170423,53.433545,10.886469
56.164339,1,118.478091,82.345187,601.804096,5,546.160504,5.605712,139.151471,74.170787,12.335340
92.817863,1,203.079916,94.237012,570.863143,4,717.884522,7.798161,244.824300,68.587908,11.133676
74.674775,1,68.233747,102.305613,328.928793,2,559.693243,6.115449,102.454172,84.344871,7.081131
50.896043,1,226.880213,95.303868,571.440215,4,726.201964,7.319162,102.377038,40.235581,3.801730
90.887885,0,180.921755,98.362277,425.529894,7,575.865882,7.492065,117.623250,48.118881,3.388979
94.446163,0,172.716896,104.819956,640.953535,7,622.471843,7.100341,193.641140,89.318746,10.806172
90.143469,1,147.537557,98.468121,595.132453,4,770.080262,7.587964,37.457426,72.322868,3.130742
61.139035,1,121.042970,111.929841,669.044384,5,661.512786,7.072808,101.021452,72.025560,0.976718
88.740193,1,294.384188,102.071020,485.249947,7,1054.904852,6.208500,179.116878,48.769631,2.129878
71.108541,0,222.652774,73.893653,489.403507,5,558.726476,5.602150,21.446617,63.796710,9.520309
56.709219,1,119.741750,97.740229,524.274197,5,719.451694,6.014088,233.230454,41.703597,7.024046
79.481849,0,79.230457,101.110388,391.985142,5,525.619548,7.240596,24.530946,88.456913,4.750296
99.326889,1,97.491685,85.548051,733.776101,3,552.651219,6.949015,233.796566,59.515110,13.378777
75.173430,1,76.710695,87.606584,691.238858,4,532.297323,6.910467,151.793339,71.489245,10.037917
56.190850,0,229.533828,89.699546,402.935399,4,428.468324,6.940785,54.171441,75.908522,11.332711
98.254749,0,65.122040,106.321162,388.059303,8,790.393963,7.374959,82.951615,44.693808,0.894944
56.515558,1,286.517017,113.842766,530.141485,5,887.462779,7.475948,168.379585,44.935515,2.849859
77.906900,1,195.155248,108.862379,506.415601,5,829.958203,6.487032,87.038549,89.474914,2.844227
85.075298,0,91.647459,98.356147,532.662434,6,525.940683,5.782994,203.733967,53.218865,0.305676
61.060906,1,197.870523,100.763853,388.185366,7,966.896902,6.914587,49.798530,53.933272,0.738552
97.636016,1,257.429881,98.629736,387.217899,9,1182.060357,6.248553,176.398428,52.053947,4.426045
64.713427,1,168.574165,85.007212,397.032488,7,938.350209,6.323131,60.563106,55.156537,2.550686
50.728267,1,271.749317,89.287312,504.104451,4,824.516165,6.596528,222.531696,92.743315,5.558392
57.558583,1,266.599069,100.880916,578.635799,8,967.582097,6.909500,116.685838,88.361616,0.913095
87.767142,1,216.049653,85.434889,459.286319,4,817.279670,5.934570,172.268817,89.053136,0.879453
59.013158,1,65.094658,130.086288,489.535966,6,779.939306,7.402666,17.406466,41.733590,4.257752
98.939827,0,53.955196,101.708000,520.862298,3,342.556712,6.305427,98.652041,56.992790,1.994373
83.446871,0,274.208643,94.200112,284.094413,5,637.631093,7.469498,51.182636,50.019142,9.998551
55.011344,1,72.076032,109.236956,489.828322,1,551.800528,5.651379,164.278825,61.807389,0.874214
75.964119,1,173.247588,118.482020,460.502193,2,719.867254,7.107340,84.785750,54.292773,1.391080
81.025363,1,179.690942,111.041901,486.076970,4,773.467434,7.044436,20.897723,61.007095,11.547557
81.473061,1,155.356728,109.171454,442.033484,3,775.993259,7.322603,235.347986,47.498279,6.892080
78.540237,1,220.248924,103.710773,485.313475,8,998.308174,6.654156,7.525689,76.417892,3.301358
67.106298,1,115.025255,95.153134,466.833401,6,801.934752,6.682472,62.766876,75.203884,7.789287
76.763495,1,112.885636,108.253346,610.306845,9,880.428147,6.603764,171.278484,46.506638,1.793120
54.071592,1,248.915279,87.523192,626.729838,7,853.662652,5.879157,172.798445,90.645502,5.867841
77.727495,1,86.484508,91.284796,418.234762,9,960.890767,6.898432,76.237300,47.317875,0.312012
95.758476,1,215.664519,104.448567,596.301330,3,778.031266,6.946559,39.770688,59.623138,10.026755
65.736639,1,131.396865,93.959735,535.385672,8,788.614011,7.722682,127.875433,46.702707,4.494310
89.680364,0,160.203621,112.540581,619.876609,6,514.618639,6.566931,59.245752,47.569815,13.635104
55.351975,1,104.527501,98.039617,245.533322,8,1094.032478,7.446913,230.283864,52.615088,5.716208
69.580583,1,197.533427,96.408406,383.578444,7,1044.793573,7.212305,25.980876,69.901165,1.946095
74.381315,1,279.953529,87.854512,535.392866,6,806.209484,7.666147,176.382568,78.406517,11.738637
56.440499,0,81.414526,89.379608,488.841630,5,381.681735,7.226188,12.349895,85.844298,9.465646
63.484896,1,231.546016,90.791198,449.152002,5,881.194837,6.192583,231.154230,86.440010,6.987550
93.373401,1,234.984689,102.445088,450.629028,6,978.963566,7.086226,47.878484,91.295084,9.019877
86.617275,1,263.483458,98.917577,640.509577,8,991.293538,6.631513,72.168183,44.193730,8.699081
97.121781,1,209.229482,105.184195,412.148972,4,850.412142,7.365756,126.186983,98.903274,2.117262
75.990864,1,197.228912,104.392588,545.515931,8,910.273052,6.249400,41.533231,75.111402,7.760619
51.401688,1,202.479992,119.346177,499.409401,10,1078.695350,7.617675,109.939242,69.142083,13.705643
51.485787,1,220.802976,94.363543,512.260481,6,823.525684,5.609132,43.793581,59.097200,1.647950
69.883970,1,99.643690,84.489365,362.305878,10,1022.651907,6.205483,140.692066,72.189151,10.559811
62.970723,1,125.117146,86.119918,630.994341,9,853.711663,7.148847,33.568285,76.865079,13.284558
55.344839,0,111.876132,84.906131,550.520948,7,422.535521,7.674275,213.926482,48.732851,3.101865
56.246926,1,150.424640,92.687606,530.227070,7,855.354533,5.867177,148.134522,76.394842,2.887327
63.878468,1,157.685552,96.786831,544.584187,9,917.486095,5.822795,58.459598,87.622398,8.896532
67.296710,1,269.300470,103.980072,537.065951,3,749.454457,5.815760,134.415983,42.778338,2.785170
73.633184,1,81.001179,95.829149,489.500111,5,586.058570,6.386524,234.804273,64.294899,1.677565
87.139822,0,152.342793,113.843970,574.095001,9,679.590043,5.753734,96.152210,93.319991,0.181743
96.195414,1,169.848794,96.756702,569.982534,5,818.089239,7.621554,40.434616,58.802013,1.340201
50.491133,1,101.535977,108.557434,521.534968,2,602.462956,6.841347,182.602741,71.610928,2.096695
57.431018,1,190.375760,109.697618,585.018430,7,856.580191,6.485257,45.028706,59.892360,7.701061
60.939109,1,271.313979,89.912475,531.821349,3,667.167233,6.447451,233.837444,73.190796,7.598157
55.509668,1,53.083974,122.818775,520.157650,4,675.754603,7.796962,157.337379,79.518884,1.057857
61.220566,1,163.433572,99.329933,559.645363,5,685.714134,7.200749,134.222430,95.589157,3.977699
70.730227,1,122.503311,95.951176,405.948715,7,823.798807,5.967414,153.833729,62.686648,9.841673
66.357329,1,227.894926,93.350420,443.917122,5,753.174465,7.413821,37.463453,83.890110,10.005522
65.164596,1,200.154031,104.105978,358.537411,5,918.511156,7.521982,173.218553,99.676571,13.886605
89.169832,1,58.669820,117.380303,730.528000,6,679.959367,6.482947,107.898041,68.893039,7.240599
98.218460,1,129.792867,106.794694,574.362515,5,837.884222,5.777814,6.579546,62.752559,1.083097
58.881615,1,269.492815,92.216844,560.363895,5,868.920319,7.047927,165.393013,48.657521,9.289535
77.892597,0,255.569857,112.916917,576.151738,6,710.321353,7.327533,234.401089,72.113618,8.378185
64.929492,1,166.062615,102.069404,434.580328,7,942.307165,6.470889,23.774556,60.272747,11.182174
80.373390,0,132.562926,106.504074,496.572014,4,401.127780,6.817851,154.723390,55.476392,11.297140
71.589556,1,242.243001,103.041735,676.926328,7,796.243191,5.588002,18.901996,89.222370,5.770449
89.603829,1,105.355431,100.551733,451.966669,3,758.999368,5.597822,58.185816,47.900230,11.692644
80.648434,1,242.157570,86.012662,562.648812,3,742.266754,5.689452,94.014431,78.639014,11.902615
53.126327,1,218.913881,126.697471,410.797706,4,924.861124,5.610073,158.058564,75.785104,0.088320
96.054080,0,99.728441,100.833904,457.995517,7,596.047204,7.777909,186.307846,50.038300,2.802171
69.873381,0,288.362753,92.526483,549.867958,4,505.875509,6.828647,244.778849,59.862893,6.567979
97.482337,0,129.253019,96.101462,550.522018,6,522.449043,6.826045,17.708083,45.190829,7.797632
77.517823,0,155.304211,77.788437,608.684111,7,530.435177,6.002580,125.411355,41.054769,10.639385
85.073816,1,72.790875,116.685962,468.553980,6,851.305353,5.685870,50.461301,41.083927,10.771288
64.029499,1,284.080447,91.368624,497.145678,8,1025.828041,6.151984,153.994169,86.659743,2.717101
53.847822,0,154.551279,94.106873,537.891627,0,179.715748,6.015746,182.960869,83.257116,2.750878
62.260751,1,263.538060,90.237761,350.114223,3,888.870318,7.569155,218.238893,53.421807,1.967885
94.266778,1,273.145730,75.853029,568.746570,5,787.165281,6.298657,191.932170,69.343338,4.119095
78.319517,1,125.369989,103.746558,456.332483,7,929.206902,6.399779,173.986141,82.122538,0.412761
91.704089,1,229.418384,113.039881,554.936210,5,868.768779,7.616724,225.165098,66.794848,10.008319
52.893595,1,225.739352,82.213850,458.997287,6,832.351359,6.410713,80.403866,80.903646,5.614548
57.933718,1,138.115124,96.536800,548.467116,3,618.805570,6.132414,109.260138,66.483128,10.757907
73.614887,0,282.024407,88.374521,387.203887,2,465.266772,6.467618,81.518514,45.604834,4.968873
53.123159,0,215.825589,83.209917,432.236334,2,399.953555,7.419673,244.668526,71.776947,2.157693
81.293777,0,264.399901,89.524126,650.212638,6,556.195632,7.110179,165.287381,60.874623,7.126221
56.678168,1,139.341329,96.067045,479.696561,9,900.215407,7.660541,216.800589,95.661362,6.357424
