site_id,region,county_code,monitor_type,has_monitoring,station_count,traffic_index,population_density,industrial_index,pm25,ozone,co2_ppm,asthma_rate,median_income,green_space_pct,development_pressure,latitude,longitude
S0033,East,633,Regulatory,True,4,59.3,1064.7,53.0,36.65,37.3,419.0,5.39,46226.0,30.7,Low,38.97315,-79.60554
S0034,West,428,Regulatory,True,5,62.8,1109.2,50.4,36.87,25.5,421.6,6.36,42808.0,31.9,High,43.92172,-103.5823
S0035,West,560,Community,True,4,65.0,1197.9,66.6,16.87,25.2,430.5,4.64,47267.0,35.7,Medium,33.75777,-82.17689
S0036,North,202,Regulatory,True,5,55.2,949.0,44.9,29.01,31.8,420.2,5.56,38052.0,16.1,High,28.8204,-95.00372
S0037,West,059,Community,True,2,72.6,1290.5,54.4,26.58,40.5,414.0,5.44,46647.0,29.8,High,36.98758,-82.02693
S0038,Central,697,Regulatory,True,5,33.2,696.0,38.4,19.38,16.0,393.2,5.11,62799.0,37.8,Medium,43.08437,-72.33085
S0039,West,223,Community,False,2,47.5,802.2,40.7,,36.7,379.3,6.13,45298.0,29.3,Low,31.76577,-71.5408
S0040,Central,492,Mobile,True,2,72.1,1105.6,60.6,25.83,41.7,414.2,5.65,46441.0,18.3,Severe,31.72838,-93.73136
S0041,Central,011,Community,False,5,66.6,1408.5,58.4,23.76,42.2,435.5,4.63,32940.0,22.8,Medium,47.36538,-95.08827
S0042,North,793,Community,True,4,60.8,1260.8,55.3,31.2,43.6,412.8,6.54,50428.0,29.2,High,47.51431,-109.22349
S0043,North,701,Community,True,3,55.1,837.1,45.9,35.9,49.1,389.9,5.63,52093.0,27.9,Severe,48.29501,-70.69151
S0044,West,512,Mobile,True,5,50.3,988.1,51.7,27.43,30.1,403.4,4.45,49581.0,31.5,Severe,44.36468,-98.16965
S0045,North,814,Community,True,4,38.4,630.2,33.7,37.55,29.3,391.2,6.01,49484.0,40.9,Medium,31.04596,-117.1635
S0046,North,310,Mobile,True,2,44.0,823.9,38.9,31.54,26.4,380.6,4.98,47714.0,29.8,Medium,31.5576,-99.61947
S0047,East,749,Regulatory,True,1,54.7,1019.5,52.5,13.69,33.1,412.7,5.15,52898.0,36.8,Severe,34.31484,-117.19444
S0048,West,034,Regulatory,True,3,68.1,1197.1,67.3,27.73,49.1,441.3,6.93,47587.0,25.9,High,33.83985,-95.60443
S0049,West,340,Mobile,True,4,65.5,1085.4,64.7,26.79,25.4,407.7,4.79,51007.0,29.1,Medium,47.56535,-92.22666
S0050,West,647,Community,True,3,29.5,448.3,33.9,28.78,21.6,359.0,5.67,54030.0,32.5,Medium,43.96509,-105.07904
S0051,North,481,Regulatory,True,1,65.9,1075.8,61.5,12.78,46.4,435.8,3.41,57533.0,29.9,Medium,42.56619,-120.38009
S0052,North,574,Community,True,1,60.4,987.0,55.6,74.19,42.0,408.9,8.03,54494.0,32.1,Severe,30.99821,-70.24855
S0053,Central,825,Community,False,1,39.9,710.4,51.8,33.66,30.0,429.1,5.06,52280.0,33.5,Medium,46.5548,-80.0322
S0054,South,739,Mobile,True,5,69.6,1166.6,54.5,32.72,40.5,432.6,5.2,60148.0,29.1,High,44.79921,-76.26434
S0055,South,093,Regulatory,True,3,79.7,1517.1,66.5,52.03,39.4,450.5,5.83,49259.0,6.7,High,30.5183,-103.40507
S0056,South,628,Mobile,True,5,63.9,1329.0,67.2,74.84,48.8,468.3,8.25,57466.0,30.1,High,45.73016,-80.75222
S0057,East,844,Mobile,False,1,60.0,1009.8,46.7,39.04,32.3,402.8,6.66,53797.0,18.8,High,32.85332,-96.59106
S0058,North,133,Mobile,True,4,58.8,1087.2,35.2,37.33,37.0,393.1,5.88,33741.0,29.3,Severe,28.7387,-112.9377
S0059,Central,844,Mobile,True,1,59.7,1135.4,59.6,32.54,56.0,418.5,5.02,58626.0,13.7,Medium,41.12168,-117.34566
S0060,Central,989,Community,True,5,71.4,1341.3,82.5,35.14,45.4,505.2,6.87,48033.0,33.7,Low,41.0568,-104.65958
S0061,South,419,Regulatory,True,1,57.6,1045.9,47.3,,32.2,434.9,4.69,48309.0,33.0,High,29.04104,-116.59075
S0062,East,468,Regulatory,True,1,58.2,1137.2,47.3,21.53,37.6,405.4,3.56,50427.0,28.6,Medium,33.85531,-67.09953
S0063,East,805,Regulatory,True,5,50.0,957.1,46.9,22.0,28.8,410.3,5.42,46498.0,39.1,Low,48.34551,-121.67163
S0064,South,444,Community,False,5,40.1,573.7,45.5,16.79,50.5,422.4,4.07,53374.0,34.1,Low,41.58617,-99.13424
S0064,South,705,Community,True,4,70.8,1378.1,72.7,33.84,39.6,448.6,6.38,41996.0,26.2,Low,42.69662,-98.50462
S0066,NORTH ,912,Mobile,False,5,67.8,1326.7,58.5,17.54,32.4,415.4,4.61,57234.0,30.7,High,31.57772,-107.21366
S0067,East,030,Mobile,False,4,58.5,960.8,60.1,33.22,28.3,441.3,6.08,48326.0,25.7,High,28.69381,-91.64728
S0068,Central,969,Mobile,True,2,66.6,1203.7,69.8,33.3,46.2,446.7,6.65,44717.0,18.6,Low,32.95339,-115.87632
S0069,South,298,Mobile,True,2,59.9,1160.7,57.5,32.33,41.3,426.2,4.77,40637.0,34.3,High,32.35132,-79.42504
S0070,North,061,Regulatory,True,5,59.7,1049.0,51.3,24.63,28.8,399.8,4.84,50856.0,29.3,Medium,32.0427,-105.38426
S0071,Central,458,Mobile,False,1,70.9,1404.7,66.8,98.56,41.3,414.6,8.87,48069.0,16.1,High,31.14422,-90.4978
S0072,East,973,Community,True,3,82.1,1761.7,77.4,59.53,27.3,462.8,8.05,47537.0,27.6,Medium,39.35725,-83.35074
S0073,South,304,Community,True,1,53.0,860.0,45.5,18.11,32.9,415.5,4.44,41622.0,31.1,High,34.05422,-73.38008
S0074,South,958,Community,True,5,76.9,1218.1,77.2,39.46,42.9,455.6,5.56,34882.0,34.8,Medium,44.63742,-76.44222
S0075,NORTH ,340,Mobile,False,4,35.8,681.6,28.3,19.38,40.7,392.5,5.3,55915.0,36.0,Medium,30.95487,-89.52223
S0076,North,861,Regulatory,True,1,70.7,1359.4,63.8,23.1,29.8,424.3,4.75,58721.0,20.2,High,36.98948,-102.16739
S0077,East,448,Regulatory,True,2,75.0,1321.6,56.5,19.98,23.9,405.8,5.11,38860.0,18.0,Low,27.29364,-95.56573
S0078,South,953,Mobile,True,5,58.8,1232.3,50.8,34.21,25.5,410.4,4.62,60322.0,37.4,Severe,37.35617,-80.29775
S0079,North,836,Mobile,True,1,62.3,959.9,65.5,25.56,-5.0,436.6,6.83,51512.0,26.5,High,28.20052,-74.04113
S0080,South,302,Community,True,1,34.3,700.5,34.5,34.76,39.3,393.6,4.79,50741.0,27.9,Medium,48.02106,-118.53254
S0081,East,881,Community,False,4,58.2,974.3,43.8,39.86,43.4,387.3,5.77,45974.0,26.9,High,43.99773,-102.37076
S0082,South,540,Regulatory,True,4,63.4,1347.0,55.4,49.58,36.4,440.3,6.46,35842.0,36.7,Low,37.5374,-79.8733
S0083,Central,485,Community,True,4,82.0,1714.8,71.2,26.44,47.6,477.7,6.66,52613.0,28.6,Medium,28.86163,-99.68002
S0084,South,077,Community,True,3,59.5,979.4,59.7,36.7,36.0,426.8,4.91,42919.0,34.7,Severe,39.73758,-105.3969
S0085,West,633,Mobile,True,5,45.6,754.5,51.7,35.46,32.2,431.9,7.16,44234.0,31.1,Low,43.31342,-100.84894
S0086,West,515,Regulatory,True,5,46.0,931.0,43.2,22.9,28.1,381.9,5.67,57349.0,26.3,High,31.10042,-89.83643
S0087,East,549,Mobile,True,2,60.0,1033.0,84.0,27.49,38.5,487.4,5.67,33738.0,33.9,Medium,39.21648,-67.0112
S0088,East,944,Regulatory,True,2,67.0,1200.4,60.4,,22.7,444.4,6.11,35609.0,25.6,High,44.50553,-96.15294
S0089,East,659,Mobile,True,5,47.0,849.5,59.9,32.46,37.1,440.8,6.02,49758.0,32.8,Low,43.51733,-112.51157
S0090,Central,092,Regulatory,True,1,53.2,728.0,58.9,37.93,34.4,425.8,5.39,52978.0,34.7,Medium,44.26433,-115.13632
S0091,Central,851,Community,True,5,63.5,1141.3,60.2,23.67,41.0,384.1,6.07,52030.0,28.0,Severe,45.90545,-122.06489
S0092,South,785,Regulatory,True,3,86.6,1475.7,71.4,23.6,38.6,438.9,4.5,43731.0,19.0,Low,47.16017,-92.36801
S0093,North,466,Regulatory,True,2,51.5,868.5,57.7,24.57,33.1,414.5,5.15,70032.0,24.4,High,35.7187,-93.1871
S0094,West,466,Mobile,True,2,61.1,1273.0,60.2,29.99,28.1,413.7,5.11,45539.0,32.0,Medium,39.22854,-112.69905
S0095,West,889,Regulatory,True,2,55.8,853.4,58.1,20.97,35.1,426.3,4.36,48034.0,31.6,Medium,43.99918,-84.51856
S0096,NORTH ,599,Regulatory,True,5,41.8,850.8,37.8,25.77,35.4,381.8,5.81,43519.0,40.2,High,41.98851,-81.88635
S0097,South,040,Regulatory,True,2,69.1,1209.7,53.4,17.06,24.2,403.7,5.23,48733.0,36.2,Medium,48.40368,-109.60185
S0098,South,690,Mobile,True,2,61.4,1071.5,60.3,21.2,-5.0,412.6,5.91,53491.0,22.2,Low,27.29407,-104.71426
S0099,East,329,Regulatory,False,5,61.7,1204.8,62.5,40.24,37.5,421.8,4.77,57400.0,36.2,Severe,34.63536,-67.54788
S0100,North,285,Mobile,True,1,59.1,1104.9,50.9,36.38,27.0,428.4,6.56,36456.0,23.7,High,33.0421,-102.97979
S0101,East,947,Community,True,2,39.0,770.6,49.4,23.95,27.6,398.9,6.95,48408.0,33.7,Low,32.63979,-80.7539
S0102,South,554,Mobile,True,2,60.9,1212.5,62.4,22.22,37.4,424.6,4.79,51299.0,42.0,Medium,31.78439,-98.46829
S0103,Central,797,Regulatory,True,2,54.8,947.3,44.2,19.5,22.0,392.8,6.3,54013.0,33.0,High,42.24616,-78.88267
S0104,East,066,Community,True,3,45.8,751.6,40.3,23.3,32.9,397.6,4.98,50543.0,21.3,Severe,28.82233,-80.28116
S0105,South,636,Regulatory,True,5,61.3,972.9,52.3,37.45,25.9,420.9,4.91,53502.0,27.6,Severe,42.94459,-86.10403
S0106,South,657,Mobile,True,2,59.5,971.2,61.5,43.48,-5.0,385.0,5.96,42701.0,40.7,Severe,41.90866,-75.35025
S0107,Central,632,Community,True,3,82.8,1844.4,69.7,29.74,56.1,460.7,6.22,56397.0,24.8,Low,32.39229,-70.49494
S0108,Central,109,Community,True,1,62.0,1266.1,67.6,21.93,30.0,463.2,4.51,55345.0,34.4,Severe,32.43593,-91.15096
S0109,Central,415,Community,True,1,69.6,1090.8,61.0,35.46,39.5,414.0,5.35,37696.0,22.1,Severe,40.5205,-110.84554
S0110,North,092,Regulatory,True,3,62.0,956.5,54.6,22.76,27.8,403.6,5.55,40660.0,27.0,Medium,43.38668,-101.57883
S0111,South,368,Community,False,1,36.8,720.7,24.3,19.59,34.4,357.0,4.98,42301.0,33.8,Medium,45.84444,-80.89742
S0112,NORTH ,820,Community,True,4,64.6,1228.3,44.2,45.73,20.9,388.2,6.7,53054.0,42.9,Medium,45.321,-87.0742
S0113,North,423,Community,True,1,69.1,1309.0,57.9,42.26,38.3,427.5,6.28,36868.0,26.6,High,47.74498,-114.2766
S0114,West,572,Community,True,4,92.9,1641.7,62.6,36.95,28.7,403.4,6.18,42502.0,16.2,Medium,39.49978,-121.55373
S0115,West,862,Mobile,True,3,57.8,1024.5,61.2,,33.6,413.4,4.7,52491.0,42.1,Low,46.53609,-85.22971
S0116,West,739,Regulatory,True,4,55.7,1042.8,56.8,32.52,25.9,445.2,5.79,48214.0,30.0,Low,44.38304,-110.06296
S0117,South,240,Regulatory,True,1,53.2,967.8,80.6,50.15,46.7,451.2,5.86,51264.0,27.8,Medium,46.23535,-95.76896
S0118,North,435,Community,True,2,44.1,528.3,61.8,26.35,28.7,449.8,6.22,43304.0,18.0,Medium,27.24997,-81.56206
S0119,North,212,Mobile,True,4,70.1,1233.4,65.0,53.14,40.7,442.3,6.21,52358.0,28.6,High,47.76691,-92.14666
S0120,West,400,Community,True,1,67.9,1120.1,61.7,,32.7,403.9,7.33,43374.0,27.8,Low,37.1809,-119.7101
S0121,East,610,Regulatory,True,2,69.8,1278.0,70.9,61.38,36.8,457.1,6.91,44735.0,20.0,Severe,44.16093,-113.82914
S0122,West,526,Regulatory,False,3,52.3,1299.0,59.5,33.81,36.1,425.4,5.83,49108.0,32.1,Severe,29.73489,-111.88863
S0123,South,730,Regulator,True,3,76.4,1419.5,55.9,39.27,27.9,413.8,5.62,47308.0,18.6,Severe,35.51273,-109.67281
S0124,West,468,Community,False,5,46.1,792.1,26.7,40.18,28.4,371.7,5.3,50439.0,28.8,High,32.8364,-91.9893
S0125,West,170,Community,True,3,67.4,1324.3,55.9,36.39,46.2,427.7,4.6,41049.0,36.1,Low,33.27066,-95.52197
S0126,North,819,Mobile,False,5,74.4,1397.7,81.6,31.1,34.2,477.4,4.82,44217.0,19.3,Medium,29.65,-112.8183
S0127,West,792,Mobile,True,3,42.5,815.0,49.1,23.69,41.6,426.0,4.96,50127.0,27.2,Low,44.32392,-120.6156
S0128,Central,875,Regulatory,True,3,52.3,1014.9,57.9,32.72,46.5,430.3,5.78,37910.0,29.0,Severe,27.19871,-114.64265
S0129,Central,210,Regulatory,True,3,53.9,1217.7,46.4,17.97,25.1,382.9,5.61,43994.0,28.5,Medium,33.71887,-67.89807
S0130,East,256,Mobile,True,5,57.6,900.3,31.4,24.81,16.2,369.5,4.93,52699.0,37.9,Medium,30.74983,-97.55855
S0131,South,683,Regulatory,True,5,50.6,967.2,46.4,41.0,34.0,447.6,5.43,38977.0,31.8,High,39.66434,-74.62763
S0132,South,073,Mobile,True,4,68.1,1115.3,49.1,13.9,27.9,419.2,3.69,57561.0,21.1,Severe,32.46643,-75.69673
S0133,North,147,Community,False,1,46.0,894.2,28.2,42.28,-5.0,406.4,6.45,59792.0,29.9,High,32.56847,-95.08763
S0134,South,340,Regulatory,True,1,74.6,1233.1,60.9,,35.5,450.5,7.39,37640.0,22.8,High,37.49927,-83.86546
S0135,East,317,Regulatory,True,1,49.9,847.4,52.2,24.57,26.6,417.5,6.11,60777.0,26.8,Medium,41.03281,-113.41676
S0136,Central,618,Regulator,True,3,76.6,1343.0,69.5,41.97,28.2,449.7,6.6,45794.0,26.8,High,29.60805,-84.91719
S0137,North,606,Community,True,1,46.9,961.7,43.5,27.19,39.6,397.8,5.81,52578.0,33.1,Low,30.7735,-108.83789
S0138,Central,575,Regulatory,True,5,54.3,1088.0,50.5,44.54,-5.0,384.8,7.42,44499.0,15.7,Severe,32.31426,-76.65643
S0139,East,154,Regulatory,True,4,67.4,1064.3,60.2,45.03,35.4,428.6,6.48,55998.0,34.1,Medium,47.93559,-119.68586
S0140,North,255,Mobile,False,2,46.3,839.1,31.9,,35.6,395.6,5.23,53214.0,33.1,Low,35.53878,-80.04453
S0141,West,351,Community,True,4,63.7,1061.3,51.6,36.82,29.0,403.8,5.62,42119.0,23.0,Severe,39.87829,-118.75363
S0142,South,547,Mobile,True,1,75.7,1211.7,72.2,32.74,37.7,456.2,4.68,38408.0,31.3,Medium,32.19317,-73.83162
S0143,East,835,Community,True,1,43.3,753.9,41.5,27.33,30.2,407.5,4.89,38794.0,19.1,Severe,37.54488,-107.00824
S0144,North,312,Community,False,5,69.4,1211.5,58.2,24.59,40.0,411.1,5.22,49235.0,18.9,Severe,28.59356,-86.87238
S0145,Central,808,Mobile,True,4,68.8,1529.9,49.6,55.49,37.1,402.6,6.82,50400.0,42.8,High,27.74696,-96.46862
S0145,North,765,Mobile,False,5,60.5,1140.5,61.4,,33.6,415.2,7.61,53365.0,28.6,Low,37.07777,-103.43757
S0147,West,669,Community,True,5,29.8,371.7,25.2,17.85,26.8,353.1,4.95,51826.0,30.5,Low,35.57117,-87.38709
S0148,East,134,Mobile,True,2,49.8,827.9,43.2,17.14,27.8,378.5,5.68,40777.0,32.0,Severe,29.94293,-70.01743
S0149,North,948,Regulatory,True,5,58.1,1167.7,71.7,29.05,26.1,435.5,5.15,42537.0,24.6,Severe,41.78343,-122.12699
S0150,East,129,Regulatory,True,5,62.2,1370.5,46.2,33.64,33.6,424.4,5.46,55996.0,31.0,Medium,48.34743,-71.66596
S0151,East,436,Regulatory,True,2,56.0,817.4,52.8,32.1,48.3,401.3,4.67,46218.0,32.4,Medium,35.50641,-89.4778
S0152,Central,280,Regulatory,True,3,53.3,734.6,61.1,47.71,28.2,431.9,5.87,51740.0,26.6,Low,40.42801,-78.07943
S0152,South,358,Regulatory,True,3,55.1,1216.1,58.2,40.09,28.4,417.3,6.37,39098.0,30.5,Severe,47.70398,-102.42719
S0154,West,930,Mobile,False,2,67.3,1258.9,53.7,43.11,26.5,434.4,6.16,50139.0,28.3,Low,44.878,-97.36903
S0155,North,883,Community,False,5,60.1,976.8,52.4,33.41,38.9,434.0,6.33,45477.0,24.6,Low,36.96637,-74.54108
S0156,South,252,Mobile,False,1,35.9,710.0,32.1,15.09,31.6,390.8,4.88,59114.0,26.9,High,42.85602,-100.64624
S0157,Central,135,Regulatory,False,4,79.1,1107.7,74.5,33.64,37.4,458.7,5.44,54542.0,33.0,Low,29.7549,-93.75707
S0158,South,843,Regulatory,True,1,68.0,1225.1,76.1,50.99,31.7,453.5,8.05,43684.0,28.7,Severe,38.01023,-123.33879
S0159,East,523,Mobile,True,1,36.8,702.3,45.3,26.16,32.1,383.7,5.24,49773.0,37.2,Low,32.9998,-115.38061
S0160,East,804,Mobile,False,5,69.0,1352.5,61.4,38.53,22.8,459.7,6.74,42476.0,27.7,Low,30.46502,-87.60303
S0161,West,660,Community,True,4,48.2,746.1,47.8,25.03,33.1,394.7,4.97,39168.0,31.8,Medium,36.16504,-83.27383
S0162,NORTH ,319,Regulatory,True,4,72.9,1322.9,62.8,22.99,42.7,443.0,5.65,40203.0,26.4,Medium,29.81681,-91.00045
S0163,North,080,Mobile,True,3,74.6,1232.1,60.1,31.22,25.0,444.0,6.21,49193.0,34.9,Low,42.02818,-116.25967
S0164,NORTH ,191,Community,True,2,44.3,828.3,53.4,31.86,21.1,407.8,5.74,52632.0,27.3,Medium,36.80916,-98.88919
S0165,West,453,Regulatory,True,5,78.7,1309.9,66.4,27.26,49.2,455.2,3.71,48329.0,20.8,Medium,38.41961,-104.08205
S0166,North,344,Regulatory,True,4,64.0,1103.1,59.3,28.94,29.9,438.1,5.46,45968.0,31.3,Severe,30.14708,-95.99947
S0167,East,030,Regulatory,True,5,69.7,1135.1,55.4,,42.9,445.7,5.99,55654.0,28.0,Low,30.00509,-74.45608
S0168,West,414,Mobile,False,3,77.2,1467.1,84.4,56.24,39.9,464.9,7.18,46706.0,24.6,Severe,39.54343,-79.88797
S0169,South,871,Regulatory,True,1,54.4,1082.1,57.9,27.31,33.2,404.9,5.68,54133.0,32.7,High,48.17771,-119.6706
S0170,West,368,Regulatory,True,4,45.6,793.5,43.0,44.86,34.3,389.9,5.04,36049.0,27.9,Low,29.06939,-73.30722
S0171,NORTH ,741,Community,True,3,48.3,873.8,54.1,49.63,26.5,420.5,5.98,20000.0,27.9,Low,33.14323,-97.37339
S0172,North,993,Mobile,False,5,60.5,914.8,42.9,27.39,31.8,398.0,5.66,51781.0,29.6,Medium,45.69337,-81.72793
S0173,Central,596,Community,True,3,50.8,879.2,48.0,19.83,28.9,400.4,5.28,38327.0,38.1,Low,28.55385,-116.44774
S0174,Central,502,Mobile,True,3,54.4,973.4,52.3,14.11,22.5,385.6,5.56,47460.0,29.6,Medium,45.83154,-85.93363
S0175,North,662,Regulatory,False,3,72.1,1613.1,43.6,17.51,33.6,405.5,4.77,42904.0,32.2,Low,38.27215,-110.91125
S0176,North,873,Community,True,3,68.7,1102.6,67.0,20.64,34.7,470.3,5.32,61083.0,19.7,High,35.77774,-99.2931
S0177,North,701,Mobile,False,3,56.1,1186.2,40.5,44.42,28.9,399.8,6.23,51082.0,36.3,Medium,33.65813,-123.53038
S0178,Central,021,Mobile,True,3,83.7,1625.9,59.7,34.81,25.2,436.6,5.05,46571.0,30.6,Low,33.38802,-115.78239
S0179,North,549,Regulatory,True,2,53.2,991.1,35.7,30.28,41.7,392.9,3.93,55749.0,27.8,Medium,33.57476,-119.20537
S0180,NORTH ,246,Regulatory,True,5,95.0,1921.0,81.5,18.12,47.4,472.7,5.21,46422.0,35.2,High,46.02327,-110.71471
S0181,South,283,Community,True,1,71.6,1333.0,60.1,21.24,42.7,442.1,5.18,43341.0,30.0,Low,42.5616,-118.74896
S0182,East,614,Community,True,5,46.8,888.9,43.8,37.1,28.5,404.8,5.42,58239.0,27.5,Severe,41.39904,-84.71517
S0183,South,931,Mobile,False,4,60.1,1075.3,36.0,29.86,15.2,380.0,4.36,39670.0,32.8,Medium,44.17311,-122.83021
S0184,West,806,Community,False,4,62.2,1265.6,50.4,28.15,48.2,398.9,5.85,49992.0,27.7,Severe,32.52797,-88.97992
S0185,East,232,Regulatory,False,5,61.8,1243.5,56.5,37.41,33.6,417.9,5.68,35159.0,38.0,Low,40.28792,-116.4093
S0186,South,316,Community,True,3,70.4,1191.5,57.7,56.26,28.4,428.6,7.2,49483.0,34.1,Severe,36.89142,-70.15322
S0187,West,838,Community,False,2,73.5,1164.5,62.3,30.47,38.9,427.3,6.83,49557.0,30.3,High,43.8225,-70.84709
S0188,South,800,Mobile,True,1,68.5,1208.6,47.2,30.35,41.1,409.7,4.02,61160.0,40.9,Medium,33.64901,-111.53357
S0189,West,336,Regulatory,False,3,50.0,804.5,48.0,30.13,31.8,413.0,5.02,37653.0,24.2,Medium,40.82834,-89.17078
S0190,North,988,Mobile,True,5,37.3,663.8,50.3,63.49,-5.0,423.0,7.03,46210.0,34.6,Low,45.96757,-122.88969
S0191,West,976,Regulatory,True,5,57.4,1181.7,55.2,14.42,42.5,438.6,5.74,54491.0,32.2,Severe,35.64624,-70.92216
S0192,North,411,Regulatory,False,2,66.2,1136.9,60.3,40.42,26.5,429.6,4.88,50861.0,26.6,High,28.43237,-94.42823
S0193,West,245,Mobile,False,2,74.6,1338.6,59.2,31.15,29.4,406.9,6.91,48411.0,26.8,Low,38.09509,-122.01467
S0194,West,387,Community,True,5,45.9,832.6,40.6,32.45,37.8,387.9,5.72,42355.0,37.4,Low,34.43841,-104.80625
S0195,South,689,Mobile,True,3,59.9,1179.8,56.8,24.3,12.5,422.9,5.15,43195.0,33.7,Low,41.45285,-120.08116
S0196,West,725,Community,True,3,65.7,913.5,56.2,30.49,32.9,393.7,5.39,59479.0,20.2,High,47.44721,-101.90569
S0197,South,358,Mobile,True,3,41.3,670.8,44.8,34.54,19.8,421.6,5.42,50563.0,41.9,High,37.44058,-85.97924
S0198,West,614,Mobile,True,1,56.0,1033.6,58.2,90.65,30.7,427.0,9.27,51801.0,35.2,Medium,37.02309,-97.48133
S0199,Central,798,Community,True,1,67.9,1366.2,47.6,39.34,29.5,411.5,5.22,45881.0,28.8,Medium,41.07357,-102.43597
S0200,East,022,Community,True,3,42.3,703.1,35.4,18.97,26.0,404.3,5.19,41316.0,28.2,Medium,29.2252,-117.64847
