policy_id,site_id,policy_strength,policy_type,grant_amount,inspection_count,compliance_score,estimated_reduction_pct,policy_adopted,start_date
P0070,S0255,Pilot,Industrial Retrofit,14198.61,3,51.1,-5.0,True,2021-10-29
P0071,S0488,Pilot,Emissions Cap,55886.01,4,53.7,13.3,False,2023-03-30
P0072,S0458,Partial,Congestion Pricing,18715.1,5,68.9,15.9,True,2022-04-09
P0073,S0528,Partial,Emissions Cap,34151.2,4,48.3,7.4,True,2023-01-30
P0074,S0591,Full,Emissions Cap,31083.61,4,61.5,6.7,False,2022-10-06
P0074,S0525,Partial,Congestion Pricing,56636.66,4,80.7,6.0,False,2022-10-21
P0076,S0370,Full,Congestion Pricing,8004.59,8,47.8,7.7,True,2021-10-26
P0077,S0102,Partial,EV Incentive,33242.29,9,70.4,16.0,True,2022-09-18
P0078,S0916,Partial,EV Incentive,32919.5,9,71.6,4.4,True,2021-01-29
P0079,S0664,None,EV Incentive,16079.84,2,61.5,13.9,True,2022-06-03
P0080,S0690,None,EV Incentive,47865.39,1,72.5,7.0,True,2022-11-19
P0081,S0599,Partial,EV Incentive,11621.11,9,62.7,-2.0,False,2021-08-07
P0082,S0600,Pilot,Industrial Retrofit,50956.19,1,74.5,7.9,True,2021-11-04
P0083,S0541,Partial,Industrial Retrofit,7380.44,7,52.2,19.8,False,2021-09-21
P0084,S0389,Partial,Emissions Cap,15631.57,4,87.7,5.9,True,2021-03-26
P0085,S0363,Full,Emissions Cap,24737.29,4,82.2,8.6,False,2022-02-22
P0086,S0931,Full,EV Incentive,30656.37,5,38.2,10.0,True,2024-03-20
P0087,S0612,None,Emissions Cap,8770.51,8,150.0,11.2,True,2022-03-01
P0088,S1139,Pilot,Industrial Retrofit,50299.26,6,58.1,19.3,False,2022-07-07
P0089,S0722,Partial,Industrial Retrofit,42282.81,4,82.2,5.2,True,2023-02-23
P0090,S0343,Pilot,Emissions Cap,84287.42,4,77.1,10.1,True,2023-02-18
P0091,S1098,Pilot,EV Incentive,40997.52,9,52.0,14.6,True,2024-02-14
P0092,S0135,Full,Industrial Retrofit,17294.68,8,71.9,5.7,True,2023-10-27
P0093,S0940,Full,Congestion Pricing,14146.47,8,56.6,10.4,True,2023-08-11
P0094,S0978,Partial,Congestion Pricing,20902.94,1,71.5,15.9,True,2024-02-16
P0095,S0380,Partial,Emissions Cap,,6,65.6,6.9,False,2021-10-04
P0096,S1149,Pilot,EV Incentive,27682.74,9,56.2,9.0,True,2023-01-11
P0097,S0038,Partial,Emissions Cap,28400.22,0,49.0,3.1,True,2023-12-01
P0098,S0781,Pilot,EV Incentive,61554.4,3,67.8,15.7,True,2023-01-19
P0099,S0310,Partial,EV Incentive,,1,70.6,11.0,False,2024-03-18
P0100,S0106,Pilot,Congestion Pricing,37174.42,9,63.1,7.4,True,2021-05-01
P0101,S0556,FULL,Industrial Retrofit,36673.36,8,55.7,8.2,True,2022-06-12
P0102,S0397,Partial,Industrial Retrofit,47782.49,5,59.2,9.9,True,2024-03-18
P0103,S0153,Partial,Emissions Cap,44863.33,3,51.8,12.0,True,2022-04-01
P0104,S0536,Full,Emissions Cap,,2,73.8,6.1,True,2023-06-07
P0105,S0996,Pilot,EV Incentive,11732.67,3,39.1,6.6,True,2021-02-06
P0106,S0966,FULL,Industrial Retrofit,19169.43,1,76.4,8.4,True,2023-04-14
P0107,S1170,Full,EV Incentive,44589.67,4,64.1,10.9,True,2024-01-27
P0108,S0893,Full,Congestion Pricing,81848.51,8,71.3,19.6,False,2022-04-05
P0109,S0583,Partial,Congestion Pricing,12916.24,5,72.4,5.2,True,2021-01-26
P0110,S0201,None,EV Incentive,12415.94,1,66.4,0.1,True,2021-02-03
P0111,S0012,Partial,EV Incentive,10463.6,5,60.3,18.4,True,2023-12-07
P0112,S1076,None,EV Incentive,16979.64,8,78.3,4.7,True,2023-05-18
P0113,S0768,Partial,EV Incentive,47502.46,3,44.4,18.8,True,2021-05-09
P0114,S0920,Pilot,EV Incentive,59261.47,0,80.6,17.5,True,2021-03-07
P0115,S0521,Full,Congestion Pricing,7729.55,1,51.5,13.3,True,2023-08-24
P0116,S1164,Pilot,Congestion Pricing,13054.59,4,61.1,17.3,True,2023-08-30
P0117,S0100,Full,Congestion Pricing,11668.68,9,82.2,-1.0,True,2021-05-25
P0118,S1161,Pilot,Emissions Cap,15984.81,6,91.8,1.9,True,2021-12-28
P0119,S0871,Pilot,Congestion Pricing,23543.18,7,67.2,11.7,True,2023-07-26
P0120,S0366,Full,Industrial Retrofit,21195.62,2,48.7,7.7,True,2022-09-23
P0121,S0657,Pilot,Industrial Retrofit,36617.87,8,75.2,5.3,False,2024-02-22
P0122,S0161,Partial,EV Incentive,8467.69,1,64.5,14.8,True,2022-08-01
P0123,S0761,Pilot,Congestion Pricing,19686.48,3,52.3,11.5,True,2023-03-24
P0124,S0175,Partial,EV Incentive,61073.94,3,67.6,16.3,False,2022-09-04
P0125,S1112,None,EV Incentive,62486.58,5,49.3,7.8,False,2024-02-06
P0126,s0545,Pilot,Industrial Retrofit,73046.2,9,67.3,9.9,True,2022-04-24
P0127,S0477,Partial,Industrial Retrofit,,5,54.0,19.2,True,2021-10-03
P0128,S0283,FULL,EV Incentive,18159.51,2,41.4,2.3,False,2022-01-27
P0129,S0957,None,Industrial Retrofit,29879.19,8,45.1,9.5,False,2023-10-21
P0130,S0452,Partial,EV Incentive,122593.72,4,57.7,4.8,False,2022-08-21
P0131,S0082,FULL,EV Incentive,19568.2,1,71.0,20.2,True,2022-03-02
P0132,S0816,None,EV Incentive,80797.56,5,80.0,24.4,True,2022-10-16
P0133,S0520,Partial,Emissions Cap,6234.95,2,150.0,11.3,True,2021-06-09
P0134,S0134,Full,Industrial Retrofit,37918.38,7,46.9,13.0,False,2021-01-07
P0135,S0447,None,Industrial Retrofit,39670.34,2,62.3,9.4,False,2021-12-03
P0136,S0118,Partial,Congestion Pricing,33662.9,4,57.7,9.1,False,2022-12-28
P0137,S0749,Partial,Industrial Retrofit,35011.74,3,63.7,10.5,True,2023-05-05
P0138,S1174,None,Congestion Pricing,36824.89,3,81.9,1.9,True,2023-09-19
P0139,S0646,None,EV Incentive,37872.99,1,66.9,14.0,True,2024-01-17
P0140,S0379,Pilot,Emissions Cap,22060.77,7,75.4,4.1,False,2022-05-10
P0141,S0608,Partial,EV Incentive,22865.43,2,91.5,7.9,True,2023-06-08
P0142,S0966,None,EV Incentive,,3,46.2,10.2,False,2021-03-31
P0143,S0525,Full,EV Incentive,41751.62,5,59.3,5.4,True,2021-03-11
P0144,S1141,Partial,Congestion Pricing,58768.75,8,71.9,13.6,True,2021-05-30
P0145,S0576,Pilot,Emissions Cap,76621.33,3,68.2,7.1,False,2022-06-23
P0146,S0937,Partial,EV Incentive,16438.02,2,77.6,16.4,True,2021-09-11
P0147,S0662,Full,Congestion Pricing,9562.0,4,60.4,4.8,True,2021-12-11
P0148,S0876,Pilot,EV Incentive,,8,67.5,9.0,False,2023-02-17
P0149,S0012,Pilot,Emissions Cap,13448.52,0,55.9,3.6,True,2022-03-07
P0150,S1114,Partial,EV Incentive,37913.44,4,77.8,15.9,False,2022-10-31
P0150,S0388,None,EV Incentive,7163.78,3,65.5,8.1,True,2022-05-10
P0152,S0083,None,Industrial Retrofit,51654.14,4,81.8,6.7,False,2021-07-22
P0152,S0976,None,Congestion Pricing,29494.77,6,81.9,8.9,True,2021-03-30
P0154,S0396,Pilot,Emissions Cap,8494.69,6,49.6,9.3,True,2021-10-11
P0155,S0545,None,Congestion Pricing,32287.96,6,83.8,12.4,True,2021-03-11
P0156,S0661,Full,Industrial Retrofit,28480.56,0,76.2,13.2,True,2023-01-13
P0157,S0640,Full,EV Incentive,36817.77,8,63.1,9.1,True,2023-08-13
P0158,S0100,None,Emissions Cap,43530.11,6,75.1,9.8,False,2022-02-12
P0159,S0457,Pilot,Emissions Cap,6312.03,3,58.9,-5.0,False,2022-04-10
P0159,S0874,None,Congestion Pricing,20277.67,3,81.3,7.3,False,2023-09-07
P0161,S0328,None,EV Incentive,25503.78,1,66.2,18.6,True,2021-09-25
P0162,S0724,Pilot,Industrial Retrofit,22533.91,5,75.7,12.7,True,2021-05-23
P0163,S0074,Pilot,EV Incentive,21793.85,9,150.0,3.6,True,2022-08-25
P0164,S1120,Full,Congestion Pricing,50648.77,2,68.4,7.7,False,2023-02-15
P0165,S0092,Pilot,Emissions Cap,9520.86,0,75.6,6.4,True,2022-12-21
P0166,S0330,Pilot,Emissions Cap,22586.55,4,68.7,16.4,True,2023-05-07
P0167,S0175,Pilot,EV Incentive,23686.16,5,71.7,15.8,True,2021-03-10
P0168,S0315,None,EV Incentive,25193.61,4,55.9,5.3,True,2022-05-29
P0169,S0497,Full,EV Incentive,14967.13,4,68.7,10.1,False,2021-10-14
P0170,S0428,None,EV Incentive,97250.74,9,55.9,3.2,True,2023-06-30
P0171,S0035,Full,Industrial Retrofit,48395.07,7,64.8,6.2,False,2023-11-14
P0172,S0119,None,Industrial Retrofit,101409.42,9,59.1,6.5,True,2021-12-04
P0173,S0925,Partial,Industrial Retrofit,39504.22,0,62.5,5.8,False,2021-04-25
P0174,S0828,Full,Industrial Retrofit,,7,44.0,12.2,True,2021-11-01
P0175,S1129,None,Congestion Pricing,26832.55,6,65.3,18.1,True,2021-05-05
P0176,S0390,Pilot,Emissions Cap,68723.73,0,63.7,9.6,True,2022-01-22
P0177,S0176,Partial,Emissions Cap,37771.75,8,46.8,3.7,True,2022-10-08
P0178,S0106,None,Congestion Pricing,,3,69.1,11.2,True,2024-03-14
P0179,S0592,Partial,Congestion Pricing,81466.16,6,74.9,11.3,True,2022-04-25
P0180,S1187,None,Industrial Retrofit,12311.75,2,68.8,8.9,True,2021-09-22
P0181,S0914,Pilot,EV Incentive,17339.28,7,74.4,21.2,True,2021-07-20
P0182,S0955,None,Emissions Cap,145273.11,3,58.7,11.5,True,2021-07-27
P0183,S0953,Full,Congestion Pricing,40232.16,1,62.4,13.4,True,2021-08-20
P0184,S0861,None,EV Incentive,5542.02,1,65.9,-3.5,False,2023-07-04
P0185,S0127,None,Industrial Retrofit,49580.81,7,66.8,4.2,False,2021-03-15
P0186,S0824,Partial,Congestion Pricing,14561.52,7,36.8,13.1,True,2024-04-11
P0187,S0234,Pilot,Emissions Cap,19061.23,0,53.9,11.7,True,2022-09-20
P0188,S0667,Pilot,Emissions Cap,124313.77,5,77.0,7.7,True,2022-10-16
P0189,S0931,None,Emissions Cap,72642.81,8,55.6,12.7,True,2022-03-06
P0190,S0137,Partial,Congestion Pricing,,8,62.0,15.6,False,2023-04-09
P0191,S0556,Partial,Emissions Cap,18687.7,1,64.4,7.2,True,2022-07-20
P0192,S0759,Pilot,Industrial Retrofit,22591.66,7,48.9,6.3,True,2022-01-30
P0193,S1173,None,Emissions Cap,30674.88,7,84.0,8.5,True,2021-11-15
P0194,S0056,Partial,Industrial Retrofit,45298.91,3,64.6,13.0,False,2024-01-16
P0195,S0356,Partial,Emissions Cap,21912.44,3,54.7,6.6,True,2021-12-16
P0196,S0923,Pilot,Industrial Retrofit,83035.53,4,72.8,15.1,False,2022-06-08
P0197,S0813,None,Congestion Pricing,36123.95,9,150.0,7.1,False,2022-02-25
P0198,S1087,Pilot,Industrial Retrofit,65812.08,6,65.7,6.6,True,2021-04-14
P0199,S1087,Partial,Congestion Pricing,16848.32,0,81.9,24.1,True,2021-08-12
P0200,S0806,Full,EV Incentive,,8,58.5,2.6,True,2021-08-16
P0201,S1053,None,Industrial Retrofit,31176.02,2,78.7,14.7,True,2023-04-13
P0202,S0600,Pilot,Congestion Pricing,20425.32,3,60.9,-0.8,True,2022-05-03
P0203,S0568,None,EV Incentive,50444.78,6,65.8,13.9,True,2023-07-28
P0204,S0705,Pilot,Emissions Cap,,4,68.6,26.2,True,2023-05-01
P0205,S0612,Pilot,EV Incentive,23308.24,4,60.9,16.3,True,2021-08-19
P0206,S0141,Full,Industrial Retrofit,39925.99,0,52.8,18.0,False,2022-11-07
P0207,S0561,None,EV Incentive,91593.21,1,70.4,9.4,False,2023-06-11
P0208,S0499,Partial,Emissions Cap,50350.23,4,78.5,15.7,True,2023-01-30
P0209,S0627,Pilot,EV Incentive,39783.24,1,72.5,11.5,True,2022-12-22
P0210,S0502,Full,Industrial Retrofit,,0,72.2,22.2,True,2023-06-07
P0211,S0741,Partial,Industrial Retrofit,73754.12,9,59.5,3.4,False,2021-03-10
P0212,S0764,None,Congestion Pricing,,2,73.3,17.1,False,2023-05-28
P0213,S0675,Full,Emissions Cap,25766.05,0,69.3,12.6,True,2021-11-24
P0214,S0049,None,Emissions Cap,46229.39,9,75.4,4.5,True,2022-11-18
P0215,S0627,Partial,EV Incentive,22497.6,7,66.2,8.4,True,2021-10-18
P0216,S0680,Full,Emissions Cap,26038.55,7,72.2,0.4,True,2023-10-04
P0217,S0277,None,Industrial Retrofit,35866.0,7,59.2,-5.0,True,2022-07-31
P0218,S0047,FULL,EV Incentive,11281.64,6,73.3,2.8,True,2023-02-11
P0219,S0926,Full,Congestion Pricing,33563.21,6,49.9,7.7,False,2023-08-11
P0220,S0216,Full,EV Incentive,17767.66,1,61.0,10.5,True,2023-12-11
P0221,S0230,Partial,EV Incentive,13204.78,8,56.6,2.1,False,2023-05-29
P0222,S0323,Pilot,Congestion Pricing,43345.08,6,100.0,8.1,True,2021-06-28
P0223,S0225,Partial,EV Incentive,23006.41,4,72.8,11.4,True,2023-10-23
P0224,S0046,Partial,Emissions Cap,30699.21,3,150.0,6.5,False,2023-01-13
P0225,S1038,Partial,EV Incentive,23345.86,7,48.6,3.5,False,2023-01-02
P0226,S0633,Full,EV Incentive,18583.21,4,44.1,5.6,False,2024-01-11
P0227,S0375,None,EV Incentive,28869.54,5,51.3,18.0,False,2021-10-26
P0228,S0703,None,Industrial Retrofit,11880.47,3,54.8,-0.4,False,2021-10-15
P0229,S0987,Partial,Industrial Retrofit,25393.7,1,53.3,16.9,True,2022-09-08
P0230,S0333,Full,Emissions Cap,88295.1,6,59.4,18.2,False,2023-06-21
P0231,S0166,Pilot,Congestion Pricing,13099.3,1,75.0,7.9,False,2022-06-21
P0232,S0507,Full,Industrial Retrofit,63303.44,6,62.6,12.8,True,2023-01-31
P0233,S0117,Full,Industrial Retrofit,94096.74,6,73.6,5.3,True,2022-06-28
P0234,S0943,Full,Emissions Cap,16792.63,0,52.2,11.6,False,2023-01-03
P0235,S0636,Full,Emissions Cap,32746.96,9,60.4,23.4,False,2023-09-14
P0236,S0457,Full,Congestion Pricing,12334.58,9,53.7,17.6,True,2021-08-05
P0237,S0869,Full,EV Incentive,11275.39,2,70.3,7.0,False,2023-04-15
P0238,S0216,Partial,EV Incentive,29741.6,2,62.8,2.1,False,2023-08-03
P0239,S0113,None,Congestion Pricing,34389.55,5,86.3,8.2,True,2022-06-21
P0240,S1040,None,Congestion Pricing,19146.04,2,57.0,11.6,False,2022-01-23
P0241,S0216,FULL,Congestion Pricing,13648.76,8,52.5,14.3,True,2021-01-17
P0242,S0427,None,Emissions Cap,16808.56,4,68.6,9.3,True,2023-08-15
P0243,S1159,None,EV Incentive,45920.0,5,62.9,20.7,True,2022-01-29
P0244,S1067,Full,Congestion Pricing,46108.59,5,71.0,10.2,False,2022-03-05
P0245,S0764,Partial,Congestion Pricing,39557.3,7,64.3,7.1,True,2022-02-08
P0246,S0284,Pilot,EV Incentive,21346.38,9,63.3,13.1,False,2022-08-22
P0247,S0834,Partial,EV Incentive,14110.34,2,57.0,14.2,True,2023-04-23
P0248,S1122,Pilot,Emissions Cap,59139.62,8,61.8,5.4,False,2023-07-16
P0249,S1084,None,Industrial Retrofit,,6,46.6,4.4,False,2022-04-17
P0250,S0230,Full,Industrial Retrofit,19634.73,5,150.0,0.1,False,2023-03-07
P0251,S0385,Pilot,Emissions Cap,24456.7,0,80.2,8.3,False,2023-05-15
P0252,S0159,FULL,Emissions Cap,11156.41,3,76.3,17.3,False,2021-12-23
P0253,S0824,Pilot,EV Incentive,37062.55,4,59.5,14.0,True,2021-04-26
P0254,S0471,Partial,Emissions Cap,93477.1,1,57.5,16.7,True,2023-12-10
P0255,S0208,Full,Emissions Cap,47390.57,0,71.0,6.1,True,2023-03-24
P0256,S0174,None,Congestion Pricing,101437.58,1,53.6,9.0,False,2023-02-17
P0257,S1105,Full,Emissions Cap,21285.25,7,78.6,-1.4,True,2021-03-12
P0258,S1042,None,Emissions Cap,12276.36,9,36.4,16.0,True,2023-09-09
P0259,S1017,Partial,Congestion Pricing,66342.42,5,59.6,18.1,False,2022-11-11
P0260,S0708,Full,EV Incentive,29824.42,9,52.2,3.6,False,2023-10-15
P0261,S0975,FULL,EV Incentive,15743.23,1,80.0,19.8,False,2024-03-15
P0262,S0397,Pilot,Emissions Cap,82734.54,8,77.9,8.6,True,2024-02-23
P0263,S0974,None,Emissions Cap,18701.49,7,71.8,3.5,True,2023-10-25
P0264,S0766,Partial,Industrial Retrofit,13740.82,3,88.0,8.1,True,2021-01-14
P0265,S1166,None,Congestion Pricing,38598.41,9,65.1,13.8,True,2023-11-29
P0266,S0677,Pilot,Industrial Retrofit,,6,72.6,9.7,True,2021-04-01
P0267,S0517,Partial,Emissions Cap,49682.62,2,45.8,6.5,True,2023-10-19
P0268,S0662,Partial,Industrial Retrofit,13475.29,5,61.2,13.6,True,2021-12-03
P0269,S1156,FULL,Industrial Retrofit,31285.0,2,66.3,14.1,True,2023-01-03
P0270,S0306,Pilot,EV Incentive,32532.92,9,54.0,9.0,True,2021-02-15
P0271,S0358,Full,Congestion Pricing,31538.08,2,68.1,7.9,True,2023-07-15
P0272,S1187,Partial,EV Incentive,12423.98,8,41.4,6.7,False,2021-05-15
P0273,S0419,Partial,EV Incentive,23939.41,5,71.0,12.9,False,2022-05-08
P0274,S0642,Pilot,Industrial Retrofit,61337.88,7,59.8,0.4,False,2023-09-08
P0275,S0507,FULL,Congestion Pricing,23832.13,3,55.6,5.4,True,2023-04-15
P0276,S0312,Pilot,Emissions Cap,13486.87,3,73.9,9.0,False,2021-01-08
P0277,S0704,Partial,Congestion Pricing,20598.17,7,82.6,5.3,False,2022-04-29
P0278,S0245,Pilot,EV Incentive,12645.06,6,75.7,11.5,True,2021-02-20
P0279,S0477,Partial,Industrial Retrofit,7266.0,4,55.3,11.0,True,2023-03-20
P0280,S0615,Partial,Emissions Cap,24200.67,1,73.0,24.9,True,2024-03-08
P0281,S0436,Partial,EV Incentive,28566.97,5,61.9,5.4,False,2023-02-26
P0282,S0250,None,Industrial Retrofit,40918.23,0,78.6,9.9,True,2021-09-27
P0283,S1046,Partial,EV Incentive,35611.33,6,67.7,4.3,False,2022-03-03
P0284,S0477,Partial,Industrial Retrofit,,8,47.3,21.6,True,2024-03-17
P0285,S0511,None,Congestion Pricing,26248.33,4,62.1,20.2,False,2021-09-26
P0286,S0774,None,EV Incentive,96422.95,4,55.1,0.6,False,2022-11-05
P0287,S0924,Partial,Congestion Pricing,16237.84,6,55.7,9.0,False,2022-04-26
P0288,S1066,Pilot,Congestion Pricing,,4,61.1,10.2,True,2023-07-11
P0289,S0074,None,Industrial Retrofit,72778.92,9,68.3,8.0,True,2023-11-07
P0290,s0809,None,Emissions Cap,21291.29,3,75.9,7.1,False,2022-02-14
P0291,S0831,None,Congestion Pricing,25181.62,0,58.7,14.6,False,2023-03-04
P0292,S1046,Full,EV Incentive,34286.63,5,79.6,20.7,True,2022-10-21
P0293,S0220,Partial,EV Incentive,54202.2,8,44.6,14.8,False,2021-12-01
P0294,S0079,Partial,Industrial Retrofit,29295.87,3,54.9,15.2,True,2021-11-23
P0295,S0235,Full,Congestion Pricing,15831.45,9,89.6,7.9,True,2022-10-09
P0296,S0157,Partial,Emissions Cap,21035.23,3,51.3,16.1,True,2021-07-04
P0297,S0327,Partial,Emissions Cap,37197.75,4,80.0,16.1,False,2023-08-31
P0298,S1138,Pilot,EV Incentive,22537.46,5,64.7,7.2,True,2021-03-24
P0299,S0642,Partial,Industrial Retrofit,20325.25,2,64.1,8.6,False,2021-04-24
P0300,S0621,None,Congestion Pricing,15379.64,8,76.2,0.5,True,2022-02-15
P0301,S0985,Pilot,EV Incentive,55055.08,0,74.5,1.9,False,2021-05-22
P0302,S1044,None,Industrial Retrofit,25010.56,5,81.0,7.4,False,2022-07-25
P0303,S0606,Pilot,Emissions Cap,25105.89,5,62.0,3.6,True,2022-04-25
P0304,S0864,None,EV Incentive,40454.53,7,66.7,14.8,True,2023-05-17
P0305,S0749,Pilot,Industrial Retrofit,11879.67,4,62.0,9.0,True,2024-02-18
P0306,S1184,Full,Emissions Cap,27589.55,8,51.7,13.2,False,2023-06-24
P0307,S0915,Pilot,Industrial Retrofit,66382.78,8,67.0,2.7,True,2021-08-04
P0308,S0899,Full,EV Incentive,25892.27,1,63.0,17.8,True,2024-01-28
P0309,s0998,Partial,Congestion Pricing,30690.53,4,42.5,12.9,True,2022-04-16
P0310,S0860,Partial,Industrial Retrofit,30281.81,6,78.3,12.4,True,2022-07-24
P0311,S0573,Pilot,Congestion Pricing,50858.71,1,66.8,15.7,True,2022-05-21
P0312,S0038,Full,EV Incentive,30355.56,6,150.0,11.9,False,2021-12-03
P0313,S0118,None,Emissions Cap,118320.34,8,69.0,3.9,True,2023-12-11
P0314,S0390,Partial,Industrial Retrofit,30907.86,7,58.7,13.8,True,2022-02-03
P0315,S0680,Partial,Emissions Cap,20713.65,9,67.4,5.3,False,2022-11-26
P0316,S0377,Pilot,Congestion Pricing,66647.19,8,81.6,11.3,True,2021-10-16
