"county_id","region_type","policy_type","inspection_count","grants_million","compliance_score","public_support_pct","emissions_baseline_index","policy_adopted"
"C0051","Urban","Transit_Upgrade",9,6.25,58.7,66.7,57.6,1
"C0052","Urban","EV_Charging",7,7.94,50.2,47.7,55.6,1
"C0053","Urban","Transit_Upgrade",4,3.1,62.6,41.6,63.2,0
"C0054","Suburban","Building_Retrofit",1,5.19,85.8,61.7,59.1,1
"C0055","Rural","Building_Retrofit",2,2.96,34.7,65.7,61.1,0
"C0056","Rural","Building_Retrofit",5,5.92,88.6,94.6,53.1,1
"C0057","Urban","Building_Retrofit",2,5.97,43.9,11.1,74.8,0
"C0058","Rural","EV_Charging",4,2.48,40.7,62.5,51.7,0
"C0059","Suburban","EV_Charging",5,3.18,94.5,75.2,62.1,1
"C0060","Suburban","Building_Retrofit",8,4.67,86.3,60,24.6,1
"C0061","Suburban","Building_Retrofit",2,0.89,76.5,54.7,28.3,0
"C0062","Suburban","Building_Retrofit",7,0.26,48.7,66,56.6,1
"C0063","Urban","EV_Charging",2,3.06,58.4,74.2,66.5,1
"C0064","Urban","EV_Charging",6,4.55,75.2,17.8,53.1,1
"C0065","Rural","Transit_Upgrade",4,1.27,56.9,47.8,61.5,0
"C0066","Rural","EV_Charging",2,4.69,74.6,98,60.7,1
"C0067","Rural","Transit_Upgrade",8,7.76,64.7,42,44.9,1
"C0068","Urban","Transit_Upgrade",3,6.86,28.5,49.6,61.8,1
"C0069","Suburban","Building_Retrofit",7,0.3,66.1,22.7,87.8,0
"C0070","Urban","Building_Retrofit",6,4.34,68.1,62.4,65.9,1
"C0071","Urban","EV_Charging",2,2.89,56.8,70.2,38.6,1
"C0072","Suburban","Building_Retrofit",4,6.33,57.3,66.7,87.2,0
"C0073","Rural","Transit_Upgrade",1,5.63,90.5,72.1,55.6,1
"C0074","Suburban","Building_Retrofit",6,2.29,72.1,45.5,59.3,1
"C0075","Rural","Building_Retrofit",1,7.84,89.7,90.5,48.4,1
"C0076","Suburban","Transit_Upgrade",4,2.8,49,60.5,66.8,0
"C0077","Urban","EV_Charging",4,0.45,68.6,71.6,70.8,1
"C0078","Suburban","Transit_Upgrade",3,6.89,58.8,51.3,39.3,1
"C0079","Suburban","Building_Retrofit",6,3.33,72.7,64,84.1,1
"C0080","Suburban","Transit_Upgrade",5,1.34,76.3,5,80.3,0
"C0081","Rural","Building_Retrofit",6,7.15,60.6,21.3,55.8,0
"C0082","Urban","Transit_Upgrade",4,0.4,59.6,75.3,77.2,0
"C0083","Suburban","Building_Retrofit",3,4.52,94.1,61.9,45.6,1
"C0084","Urban","Transit_Upgrade",5,4.23,60.1,69.3,36.2,1
"C0085","Suburban","EV_Charging",3,2.22,75.8,64.4,37.9,1
"C0086","Suburban","EV_Charging",2,3.29,80.2,84.3,65.5,1
"C0087","Rural","EV_Charging",8,6.71,85.5,48.2,58.3,1
"C0088","Urban","Transit_Upgrade",3,3.63,74,44.5,67.8,1
"C0089","Urban","Building_Retrofit",5,0.63,70.3,39,65.3,1
"C0090","Urban","Building_Retrofit",0,6.36,67,48,91.2,1
"C0091","Suburban","EV_Charging",6,6.38,93.8,44.7,60.9,1
"C0092","Rural","Transit_Upgrade",6,4.58,76.6,34.8,47.8,1
"C0093","Urban","EV_Charging",3,2.87,50.1,72,34.6,1
"C0094","Rural","Transit_Upgrade",3,5.98,55.2,85,81.4,1
"C0095","Suburban","EV_Charging",6,2.58,79.8,51.8,69.5,1
"C0096","Suburban","EV_Charging",5,2.59,83.2,54.5,51.6,1
"C0097","Suburban","Building_Retrofit",4,3.14,82.4,52.9,78.1,1
"C0098","Suburban","EV_Charging",1,2.73,87.2,81,67,1
"C0099","Urban","Building_Retrofit",5,4.62,73.9,73,76.3,1
"C0100","Rural","Building_Retrofit",2,4.93,68,58.9,70.5,1
"C0101","Urban","EV_Charging",3,4.56,85.5,76.8,76.9,1
"C0102","Suburban","Building_Retrofit",2,0.73,65.7,62.1,65.5,0
"C0103","Urban","EV_Charging",3,5.35,62.9,53.2,41.9,1
"C0104","Suburban","Transit_Upgrade",3,4.82,61.8,41.9,63.5,1
"C0105","Urban","EV_Charging",8,7.17,43.5,38.1,86.1,0
"C0106","Suburban","EV_Charging",8,3.59,62.6,48.5,86.4,1
"C0107","Suburban","EV_Charging",6,5.11,63,47.9,65.7,1
"C0108","Suburban","EV_Charging",10,6.77,100,28,48.8,1
"C0109","Rural","Building_Retrofit",4,5.3,43.3,65.3,39.1,1
"C0110","Urban","EV_Charging",4,2.82,49.1,59,76,1
"C0111","Urban","EV_Charging",4,0.71,67.7,49.6,39,1
"C0112","Suburban","EV_Charging",5,1.61,63.6,42.9,88.4,0
"C0113","Urban","Transit_Upgrade",5,4.94,51.9,39.6,75.7,1
"C0114","Suburban","Transit_Upgrade",6,0.51,71.3,45.8,72.9,1
"C0115","Rural","EV_Charging",4,6.29,67.2,27.2,58.2,1
"C0116","Suburban","EV_Charging",6,3,55.5,90.1,31.3,1
"C0117","Rural","EV_Charging",6,5.22,74.9,70.1,76.8,1
"C0118","Suburban","Building_Retrofit",3,2.72,70.7,56.1,61.1,1
"C0119","Urban","Transit_Upgrade",2,3.64,53.4,32.3,74,0
"C0120","Suburban","EV_Charging",2,7.2,67.2,52.3,99.6,1
"C0121","Suburban","EV_Charging",4,4.45,73.8,60.8,72,1
"C0122","Suburban","EV_Charging",7,4.94,74.1,93.8,64.4,1
"C0123","Suburban","EV_Charging",5,3.92,87.8,37.5,82.8,0
"C0124","Urban","Building_Retrofit",6,3.1,45.2,39.3,72,1
"C0125","Suburban","EV_Charging",2,7.86,79.4,33.4,82.7,0
"C0126","Urban","Building_Retrofit",1,2.15,81.2,58.1,90.3,1
"C0127","Urban","EV_Charging",5,1.23,62.6,88.7,58.4,1
"C0128","Rural","EV_Charging",3,6.27,73.1,50.8,72.4,1
"C0129","Urban","Transit_Upgrade",1,7.73,54.9,36,27.3,1
"C0130","Rural","EV_Charging",7,1.03,43.2,45.2,69.1,1
"C0131","Urban","Transit_Upgrade",8,6.19,90,31,62.3,1
"C0132","Suburban","EV_Charging",2,7.52,56.6,48.9,74,1
"C0133","Urban","Building_Retrofit",4,5.67,53.3,52.4,75.3,1
"C0134","Urban","EV_Charging",1,1.86,60.7,37.6,42.9,0
"C0135","Suburban","EV_Charging",6,6.12,56.9,61,57.1,1
"C0136","Urban","Transit_Upgrade",4,5.31,88,70.8,50.8,1
"C0137","Urban","EV_Charging",4,2.16,67.2,44.3,57.1,1
"C0138","Urban","Building_Retrofit",6,7.7,72,27.9,44.8,1
"C0139","Urban","Building_Retrofit",4,0.91,56.4,65.9,59.6,1
"C0140","Suburban","EV_Charging",7,1.56,59.8,91.7,43.1,1
"C0141","Suburban","EV_Charging",2,3.13,84.8,45.6,57.7,1
"C0142","Suburban","Building_Retrofit",4,1.93,56,26.8,57.5,0
"C0143","Suburban","EV_Charging",4,1.61,83.6,64.7,54.5,1
"C0144","Urban","EV_Charging",1,7.49,45.1,42.2,97.6,0
"C0145","Rural","EV_Charging",7,2.51,80.5,8.7,44.4,1
"C0146","Suburban","Building_Retrofit",5,3.56,34.9,22.9,51.8,0
"C0147","Rural","Transit_Upgrade",4,6.51,56.4,30.4,51.1,1
"C0148","Suburban","Transit_Upgrade",2,6.7,87.1,54,64.7,1
"C0149","Suburban","Transit_Upgrade",3,2.43,69.7,49.2,88.3,1
"C0150","Urban","EV_Charging",5,6.33,81.9,51.5,54.4,1
"C0151","Suburban","EV_Charging",5,1.18,66,47.1,68.2,1
"C0152","Suburban","Building_Retrofit",2,2.01,58.5,51.5,40.3,1
"C0153","Urban","EV_Charging",2,3.99,57.5,58.4,55.6,1
"C0154","Suburban","Building_Retrofit",3,5.15,67.7,83,78.8,1
"C0155","Suburban","Building_Retrofit",4,0.5,78.2,33.4,51.1,1
"C0156","Suburban","Building_Retrofit",3,4.61,66.2,52.5,67.1,1
"C0157","Urban","Building_Retrofit",0,7.99,100,54.7,59.7,1
"C0158","Rural","EV_Charging",5,2.21,46.1,71.2,80.9,0
"C0159","Urban","Transit_Upgrade",3,5.57,55.5,44,66.9,1
"C0160","Suburban","EV_Charging",3,4.81,65.9,46.3,77.1,1
"C0161","Urban","Transit_Upgrade",3,2.23,55.3,33.9,74.7,0
"C0162","Rural","Transit_Upgrade",4,4.23,67.9,58.6,76.2,1
"C0163","Rural","Building_Retrofit",4,7.53,57.9,84.7,68,1
"C0164","Urban","Building_Retrofit",4,7.35,73.5,55.5,59.3,1
"C0165","Suburban","Transit_Upgrade",4,0.33,66.7,49.7,86.6,1
"C0166","Suburban","Transit_Upgrade",1,7.11,68.9,40.3,82.2,1
"C0167","Urban","EV_Charging",7,7.76,82,78,55,1
"C0168","Urban","Transit_Upgrade",2,6.45,69.7,57.3,54.3,1
"C0169","Rural","Building_Retrofit",4,0.86,40.2,35,57.9,1
"C0170","Suburban","Transit_Upgrade",5,7.77,65,61.1,62,1
"C0171","Suburban","Transit_Upgrade",5,7.14,60.9,54.3,62.1,1
"C0172","Rural","Building_Retrofit",4,5.06,65.6,35.6,75.2,1
"C0173","Urban","Building_Retrofit",3,7.73,73.1,89.4,80.4,1
"C0174","Rural","EV_Charging",5,2.29,48.1,66.8,93.3,0
"C0175","Suburban","EV_Charging",2,0.38,86.3,66.9,55.1,1
"C0176","Rural","Transit_Upgrade",1,1.91,81.4,61.7,29.9,1
"C0177","Suburban","Transit_Upgrade",0,6.67,42.3,60.7,53.5,1
"C0178","Rural","Transit_Upgrade",2,3.79,72.3,18.6,64.2,0
"C0179","Suburban","EV_Charging",4,1.96,74.9,65,67.9,0
"C0180","Urban","Transit_Upgrade",5,3.68,61.3,67.8,64.7,1
"C0181","Rural","Building_Retrofit",4,3.66,56.1,66.5,70,1
"C0182","Suburban","EV_Charging",4,6.16,92.7,47.6,93.2,1
"C0183","Urban","EV_Charging",2,0.41,44,85.6,51.8,1
"C0184","Rural","EV_Charging",1,2.05,70.2,34.7,71.2,1
"C0185","Rural","Building_Retrofit",1,1.35,70.2,84.8,84.3,1
"C0186","Suburban","EV_Charging",7,2.45,60.9,48.3,31.8,1
"C0187","Suburban","EV_Charging",4,6.57,83.3,31.2,50.6,1
"C0188","Urban","Building_Retrofit",3,4.81,49.7,54.2,42.1,1
"C0189","Urban","EV_Charging",3,1.25,78.8,78.6,78.4,1
"C0190","Urban","EV_Charging",4,1.13,96.1,55.3,61.2,0
"C0191","Suburban","Building_Retrofit",5,0.23,65.4,63.3,44.8,0
"C0192","Suburban","EV_Charging",3,7,76.2,88,63.7,1
"C0193","Rural","Building_Retrofit",3,1.07,67.5,32.5,47.2,0
"C0194","Rural","Building_Retrofit",5,3.71,82.6,69.2,70.3,1
"C0195","Suburban","Transit_Upgrade",1,7.17,79.5,58.7,81.2,1
"C0196","Suburban","Building_Retrofit",3,4.56,25.5,44.9,66.3,0
"C0197","Rural","Building_Retrofit",2,0.86,73.3,59.7,46.6,1
"C0198","Urban","Transit_Upgrade",4,3.35,78,45.3,60.7,1
"C0199","Urban","Building_Retrofit",2,1.81,78.2,42,94.9,1
"C0200","Rural","Transit_Upgrade",0,2.97,50.7,42.5,72.1,0
"C0201","Rural","EV_Charging",4,5.6,98.6,52.6,43.5,1
"C0202","Rural","EV_Charging",2,0.83,76.7,80.2,73.5,1
"C0203","Rural","Transit_Upgrade",2,1.33,61.4,43.9,67.1,0
"C0204","Suburban","EV_Charging",8,7.36,65.7,65.6,86.4,1
"C0205","Urban","Transit_Upgrade",1,7.89,66.9,22,96.9,1
"C0206","Suburban","EV_Charging",2,3.8,100,41.4,81.1,1
"C0207","Suburban","Building_Retrofit",3,6.41,43.1,59.1,57.9,1
"C0208","Urban","EV_Charging",1,4.03,88.8,78.7,55.6,1
"C0209","Urban","EV_Charging",1,0.32,68.9,60.3,57.9,1
"C0210","Suburban","Building_Retrofit",4,7.91,53.1,70.1,57.2,1
"C0211","Urban","Building_Retrofit",3,1.9,82.7,37.8,58.8,0
"C0212","Rural","Building_Retrofit",7,6.61,90.3,42.6,63.4,1
"C0213","Urban","Transit_Upgrade",1,7.67,42.9,52.1,68,0
"C0214","Rural","Building_Retrofit",2,0.76,60.5,31.7,58.2,1
"C0215","Rural","Transit_Upgrade",6,3.69,76.1,57.7,61.9,1
"C0216","Suburban","Building_Retrofit",5,6.14,51.6,71.7,63.7,0
"C0217","Urban","EV_Charging",4,3.15,72.4,63.6,62.5,1
"C0218","Suburban","EV_Charging",5,4.77,88.5,63.3,57.2,1
"C0219","Rural","Transit_Upgrade",2,1.14,48.7,88.3,73.7,0
"C0220","Suburban","Transit_Upgrade",5,3.27,63.8,71.1,59.1,1
"C0221","Suburban","EV_Charging",1,1.65,83,51.6,56.1,1
"C0222","Suburban","Building_Retrofit",3,3.01,92.6,74.5,35.3,1
"C0223","Suburban","EV_Charging",2,1.42,81.1,51.3,76.1,0
"C0224","Suburban","Transit_Upgrade",4,7.12,72.2,54.4,51.3,0
"C0225","Suburban","Building_Retrofit",6,3.55,82.3,65.9,60.2,1
"C0226","Rural","Building_Retrofit",5,5.75,67.4,54.6,50,0
"C0227","Urban","Building_Retrofit",4,5.09,34.1,27.6,80.2,0
"C0228","Urban","EV_Charging",6,7.15,70.5,98,78.8,1
"C0229","Rural","EV_Charging",4,7.63,68.4,70.9,39.8,1
"C0230","Rural","Transit_Upgrade",2,2.56,55.6,26.4,76.2,0
"C0231","Suburban","EV_Charging",6,5.77,51.8,93.8,74.5,1
"C0232","Urban","Building_Retrofit",3,6.07,87.9,66.2,46.5,1
"C0233","Rural","EV_Charging",4,7.43,71.9,24,33.7,1
"C0234","Urban","EV_Charging",5,5.59,65.1,62.6,70.1,1
"C0235","Rural","Transit_Upgrade",3,3.91,80.8,36.2,67.3,1
"C0236","Urban","Building_Retrofit",5,5.29,79.5,42.3,45.4,1
"C0237","Suburban","Building_Retrofit",5,1.33,52.1,61.2,48.9,1
"C0238","Suburban","Transit_Upgrade",3,6.02,82.5,75.8,58,1
"C0239","Urban","Transit_Upgrade",3,6.93,57.7,46.7,27.6,1
"C0240","Rural","Transit_Upgrade",5,6.15,57.2,55.7,25.6,0
"C0241","Rural","EV_Charging",6,2.36,50.4,57.4,44.1,1
"C0242","Suburban","EV_Charging",10,6.44,50,29.8,66.9,1
"C0243","Urban","Transit_Upgrade",6,5.15,83.8,56.5,68,1
"C0244","Suburban","Building_Retrofit",5,7.28,79.9,73.3,61.5,1
"C0245","Suburban","EV_Charging",8,4.93,61.1,63.6,62.1,1
"C0246","Suburban","Building_Retrofit",5,6.7,78.7,39,57.4,1
"C0247","Urban","Building_Retrofit",1,1.5,59.3,35.3,62.7,0
"C0248","Urban","EV_Charging",6,0.27,55.6,42.5,73,0
"C0249","Urban","Transit_Upgrade",3,7.57,55.8,57.1,57.5,1
"C0250","Suburban","EV_Charging",2,7.55,52.6,55.6,77,1
"C0251","Urban","EV_Charging",5,1.89,53.8,66.9,55.5,1
"C0252","Suburban","Transit_Upgrade",5,5.86,77.8,51.8,41.2,1
"C0253","Suburban","EV_Charging",6,7.07,54.3,66.8,69.2,1
"C0254","Suburban","Building_Retrofit",6,7.6,40.6,32.8,64.6,1
"C0255","Urban","Transit_Upgrade",3,3.24,80.8,41.3,59.1,1
"C0256","Suburban","Transit_Upgrade",5,5.82,71.3,36,52.6,1
"C0257","Suburban","Transit_Upgrade",4,1.89,74.4,75.8,98.8,0
"C0258","Suburban","Transit_Upgrade",6,1.73,56.2,57.4,88.9,0
"C0259","Rural","Transit_Upgrade",6,6.8,82.2,42.3,59.1,1
"C0260","Rural","Building_Retrofit",3,2.13,60.7,45.4,82.7,0
"C0261","Suburban","Transit_Upgrade",3,7.11,61.8,53.8,53.8,1
"C0262","Rural","Building_Retrofit",4,6.67,58.8,68.1,69.1,1
"C0263","Suburban","EV_Charging",4,4.68,58,39.5,42.8,0
"C0264","Urban","Transit_Upgrade",4,7.96,100,65,77.2,1
"C0265","Rural","Building_Retrofit",5,4.37,43.2,31.6,42.7,0
"C0266","Rural","EV_Charging",5,3.88,72.6,39.9,55.6,1
"C0267","Suburban","Transit_Upgrade",5,7.84,77.4,82.9,63.2,1
"C0268","Urban","Building_Retrofit",4,2.41,58.1,73.9,56.4,1
"C0269","Urban","EV_Charging",5,7.63,96,56,55.2,1
"C0270","Urban","EV_Charging",2,5.3,53.3,54.8,39.8,1
"C0271","Suburban","EV_Charging",4,3.83,58,45.1,91.8,0
"C0272","Rural","Building_Retrofit",3,1.34,65.8,55.3,62.6,0
"C0273","Suburban","EV_Charging",2,3.73,78,48.9,71.4,1
"C0274","Urban","EV_Charging",5,6.68,56.6,73.2,80.4,1
"C0275","Rural","Transit_Upgrade",6,4.76,57.3,15.9,73.7,1
"C0276","Suburban","Building_Retrofit",3,0.31,49.4,64.9,57.3,1
"C0277","Rural","Building_Retrofit",2,2.26,59.6,79.4,38.9,1
"C0278","Suburban","EV_Charging",3,4.7,69.9,61.8,74.7,1
"C0279","Urban","EV_Charging",4,7.36,82.6,52.5,46.2,1
"C0280","Urban","EV_Charging",5,7.7,79.4,83.7,46.3,1
"C0281","Urban","EV_Charging",2,1.67,71.5,48.8,59.4,1
"C0282","Urban","EV_Charging",6,5.62,67.6,36.4,76.4,1
"C0283","Rural","EV_Charging",1,0.64,79.1,22.2,62.5,0
"C0284","Urban","Transit_Upgrade",5,0.81,63.2,53.6,36.4,1
"C0285","Suburban","EV_Charging",4,5.18,74.3,67.7,54.3,1
"C0286","Suburban","Transit_Upgrade",1,2.8,66.2,62.8,58.8,1
"C0287","Urban","Transit_Upgrade",2,5.64,68.6,53.2,74.8,1
"C0288","Urban","EV_Charging",3,7.43,44.5,35.1,59.4,1
"C0289","Suburban","EV_Charging",5,5.76,69,52.3,70.1,1
"C0290","Urban","EV_Charging",3,2.33,59.2,54.2,75.4,0
"C0291","Suburban","Transit_Upgrade",2,3.4,70.3,91.2,60,1
"C0292","Urban","Transit_Upgrade",2,4.29,53.2,23.7,79.9,0
"C0293","Suburban","Transit_Upgrade",10,5.63,69.4,61.3,38.8,1
"C0294","Suburban","EV_Charging",1,0.38,68.5,45.7,94.7,0
"C0295","Suburban","Building_Retrofit",3,1.65,43.3,67.3,83.5,0
"C0296","Rural","EV_Charging",7,7.35,57.6,48.2,52.4,1
"C0297","Suburban","Transit_Upgrade",2,5.93,63.2,45.1,60.5,0
"C0298","Suburban","EV_Charging",3,1.42,76.5,38.5,45.1,1
"C0299","Urban","Building_Retrofit",5,1.59,83.1,85.5,50.4,1
"C0300","Urban","Transit_Upgrade",5,5.63,52.6,56.7,79.5,1
"C0301","Urban","Building_Retrofit",3,1.77,55.7,38.4,80.3,0
"C0302","Rural","Building_Retrofit",5,0.83,48.2,77.3,66,0
"C0303","Urban","Building_Retrofit",7,6.83,58.5,75.9,55,1
"C0304","Rural","EV_Charging",2,2.24,63.1,30.2,60.3,0
"C0305","Suburban","Transit_Upgrade",1,3.28,72.7,55.8,66.3,0
"C0306","Suburban","EV_Charging",3,4.55,82.6,78.7,72.6,1
"C0307","Urban","Transit_Upgrade",2,7.73,58,73.9,78.4,1
"C0308","Urban","Building_Retrofit",4,7.7,55.2,57.5,51.6,1
"C0309","Suburban","EV_Charging",1,0.29,55.8,58.3,29.2,1
"C0310","Urban","Building_Retrofit",2,1.37,33.6,65.2,53.5,0
"C0311","Suburban","Transit_Upgrade",3,2.8,94,85.2,63.8,1
"C0312","Suburban","Building_Retrofit",3,3.23,73.3,82.3,70.7,1
"C0313","Rural","Building_Retrofit",3,2.78,45.9,77.8,74.5,1
"C0314","Urban","EV_Charging",4,6.15,37.9,26,67.2,1
"C0315","Urban","Transit_Upgrade",3,4.49,48.5,98,54.3,1
"C0316","Rural","Transit_Upgrade",3,6.2,55,80.2,34.8,1
"C0317","Suburban","Building_Retrofit",8,3.28,75.2,34.4,33.7,1
"C0318","Suburban","Transit_Upgrade",5,1.06,62.7,80.8,46.6,1
"C0319","Rural","Transit_Upgrade",3,0.67,50.7,37.6,61.5,0
"C0320","Urban","Transit_Upgrade",4,7.52,63.6,53.8,73.9,1
"C0321","Suburban","Transit_Upgrade",3,1.06,65,96.3,44.8,1
"C0322","Suburban","Building_Retrofit",5,1.12,60.8,59.5,31.4,1
"C0323","Urban","EV_Charging",7,4.7,65.6,68.5,60.4,1
"C0324","Urban","Building_Retrofit",4,4.96,48.2,58.5,65.9,1
"C0325","Urban","Building_Retrofit",1,3.97,55.2,28.3,56.1,1
"C0326","Suburban","EV_Charging",1,5.05,55.4,98,63.6,1
"C0327","Suburban","Transit_Upgrade",3,7.31,56.8,28.2,43.3,0
"C0328","Suburban","EV_Charging",0,3.14,63,45.7,97.8,0
"C0329","Rural","EV_Charging",4,3.09,63.1,50.8,53.7,0
"C0330","Urban","EV_Charging",3,2.73,63.4,67.4,67,1
"C0331","Urban","Transit_Upgrade",3,0.97,72.8,43.7,64.9,1
"C0332","Suburban","Building_Retrofit",1,1.62,63.9,46,50.1,1
"C0333","Urban","EV_Charging",4,6.88,48.1,62.1,46,1
"C0334","Urban","Transit_Upgrade",7,4.89,59.6,72.9,59.6,1
"C0335","Urban","EV_Charging",5,5.23,79,38.8,91.8,1
"C0336","Rural","Transit_Upgrade",2,1.51,63.4,43.7,62.2,1
"C0337","Urban","Transit_Upgrade",6,6.98,54.1,25.7,46,0
"C0338","Suburban","EV_Charging",6,1.03,68.5,51.1,69.5,1
"C0339","Suburban","Transit_Upgrade",8,6.59,85.9,51.1,67.3,1
"C0340","Suburban","EV_Charging",7,2.9,78.3,48.2,53.8,1
"C0341","Urban","Building_Retrofit",8,0.24,58.4,51,59.4,1
"C0342","Urban","Transit_Upgrade",4,5.85,83.9,62.5,76.8,1
"C0343","Suburban","Transit_Upgrade",3,5.8,76.3,85.9,78.5,1
"C0344","Suburban","Building_Retrofit",7,3.88,60.4,35.2,36.2,1
"C0345","Urban","EV_Charging",2,2.28,47,83,51.8,1
"C0346","Rural","EV_Charging",4,0.74,63.5,70.8,77.9,1
"C0347","Suburban","Building_Retrofit",9,0.54,69.5,56.3,58.3,1
"C0348","Suburban","Transit_Upgrade",6,2.28,83.8,50.1,48.8,1
"C0349","Suburban","EV_Charging",5,7.18,41,57.8,55.9,1
"C0350","Suburban","Building_Retrofit",9,7.57,66.4,15.5,51.1,1
"C0351","Suburban","Transit_Upgrade",4,6.8,69,34.8,48.7,1
"C0352","Urban","EV_Charging",3,4.37,55.3,5,56,0
"C0353","Urban","Transit_Upgrade",5,7.07,87.5,38.6,79.6,1
"C0354","Urban","Building_Retrofit",4,7.48,57.5,45.5,27.7,1
"C0355","Suburban","Building_Retrofit",2,7.97,63,7.1,48.2,1
"C0356","Suburban","Transit_Upgrade",3,4.78,81.4,67.3,78,1
"C0357","Suburban","Building_Retrofit",3,1.88,78.8,61.9,80.3,1
"C0358","Suburban","EV_Charging",2,3.31,65,52.2,36.2,1
"C0359","Rural","EV_Charging",7,6.39,77.4,74.2,71.5,1
"C0360","Urban","EV_Charging",4,1.39,63.7,43.1,61.5,1
"C0361","Suburban","EV_Charging",2,6.76,65.6,55.5,65.5,1
"C0362","Suburban","EV_Charging",4,7.51,72.8,79.8,50.9,1
"C0363","Suburban","Building_Retrofit",3,2.32,47.2,69,64.7,1
"C0364","Urban","EV_Charging",5,0.63,63.2,59.1,49.7,1
"C0365","Suburban","Transit_Upgrade",5,7.83,72.6,51.5,63.3,1
"C0366","Rural","Building_Retrofit",3,7.31,77.6,41.3,92.9,1
"C0367","Suburban","Building_Retrofit",3,2.07,88.6,59.4,57.6,1
"C0368","Rural","Transit_Upgrade",4,1.4,65.3,55.9,56.6,1
"C0369","Suburban","Building_Retrofit",3,4.55,57.1,43.9,61.4,0
"C0370","Suburban","EV_Charging",1,5.03,77.4,63.7,71.8,1
"C0371","Suburban","Building_Retrofit",7,1.21,73.1,47.7,52.4,1
"C0372","Rural","EV_Charging",4,6.36,63.8,79.1,50.6,1
