fuel_type,station_name,street_address,city,state,zip,phone_number,status_code,expected_date,station_group,ev_lvl_1,ev_lvl_2,ev_dc_fast_count,ev_other,ev_network_type,latitude,longitude,last_confirmed,id,updated_at,access_code,restricted,ev_workplace
ELEC,City of Seattle - Muni Tower,700 5th Ave,Seattle,WA,98124,,E,,Private,,32,,,Non-Networked,47.604906,-122.330278,11/6/2024,44156,2025-10-29 13:53:23 UTC,private,,FALSE
ELEC,City of Seattle - Parking Enforcement Division,2203 Airport Way S,Seattle,WA,98134,,E,,Private,,13,,,Non-Networked,47.582934,-122.323106,11/6/2024,44158,2025-10-29 13:53:23 UTC,private,,FALSE
ELEC,City of Seattle - Seattle Center,516 Harrison St,Seattle,WA,98109,206-684-7340,E,,Public - Credit card at all times,,6,,,Non-Networked,47.622085,-122.347124,11/6/2024,44159,2025-10-29 13:53:23 UTC,public,FALSE,FALSE
ELEC,City of Seattle - Seattle City Light North Service Center,1300 N 97th St,Seattle,WA,98103,,E,,Private,,4,,,Non-Networked,47.699613,-122.341922,11/6/2024,44160,2025-10-29 13:53:23 UTC,private,,FALSE
ELEC,City of Seattle - Seattle Water Ops,2700 Airport Way S,Seattle,WA,98134,,E,,Private,,4,,,Non-Networked,47.57952,-122.321401,11/6/2024,44162,2025-10-29 13:53:23 UTC,private,,FALSE
ELEC,City of Seattle - West Bridge,4209 W Marginal Way SW,Seattle,WA,98106,,E,,Private,,2,,,Non-Networked,47.565149,-122.353024,11/6/2024,44163,2025-10-29 13:53:23 UTC,private,,FALSE
ELEC,Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,360-373-6300,E,,Private,,1,,,Non-Networked,47.562322,-122.684362,1/13/2026,44270,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,360-892-9004,E,,Private,,1,,,Non-Networked,45.64775,-122.598185,1/13/2026,44506,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,Valley Nissan,1010 S 1st St,Yakima,WA,98901,509-453-3125,E,,Public,,1,,,Non-Networked,46.590221,-120.500923,1/13/2026,44509,2026-01-13 01:16:14 UTC,public,TRUE,FALSE
ELEC,Valley Nissan,1010 S 1st St,Yakima,WA,98901,509-453-3125,E,,Private,,1,,,Non-Networked,46.590221,-120.500923,1/13/2026,44510,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,Monroe,WA,98272,425-388-6619,E,,Public,,2,,,Non-Networked,47.868914,-121.987449,8/10/2023,45209,2025-07-11 18:39:24 UTC,public,FALSE,FALSE
ELEC,Puget Sound Energy,6500 Ursula Pl S,Seattle,WA,98108,,E,,Private,,1,,,Non-Networked,47.54527283,-122.3087234,10/11/2024,48605,2025-10-10 13:29:22 UTC,private,,TRUE
ELEC,KING COUNTY DES KSC STATION #1,201 S Jackson St,Seattle,WA,98104,888-758-4389,E,,Public,,1,,,ChargePoint Network,47.598663,-122.331009,2/1/2026,49230,2026-02-01 01:16:55 UTC,public,FALSE,FALSE
ELEC,Evergreen Ford,1500 18th Ave NW,Issaquah,WA,98027,,E,,Private,,2,,,Non-Networked,47.547047,-122.063633,9/14/2023,51904,2025-10-09 16:19:01 UTC,private,,FALSE
ELEC,Nikola Broadband,615 N 5th Ave,Sequim,WA,98382,360-582-1051,E,,Public,,1,,,Non-Networked,48.08536,-123.1135,6/12/2023,51905,2025-10-09 16:39:57 UTC,public,FALSE,FALSE
ELEC,King County - Roads Maintenance Facility,155 Monroe Ave NE,Renton,WA,98056,,E,,Private,,4,,,Non-Networked,47.4847291,-122.1774112,7/3/2025,52142,2025-07-03 19:15:09 UTC,private,,FALSE
ELEC,Mazama Country Inn,15 Country Rd,Mazama,WA,98833,800-843-7951,E,,Public - Call ahead,2,1,,,Non-Networked,48.594482,-120.406494,1/9/2024,53702,2024-01-31 22:07:01 UTC,public,TRUE,FALSE
ELEC,VIA6 VIA6-SOUTH,2121 6th Ave,Seattle,WA,98121,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.613883,-122.339405,2/1/2026,55995,2026-02-01 01:36:04 UTC,public,FALSE,FALSE
ELEC,800 FIFTH AVE STATION 2,800  5th Ave,Seattle,WA,98104,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.605599,-122.330626,2/1/2026,56870,2026-02-01 01:02:26 UTC,public,FALSE,FALSE
ELEC,Campbell's Lake Chelan Resort,104 W Woodin Ave,Chelan,WA,98816,800-553-8225,E,,Public,10,1,,,Non-Networked,47.8399,-120.0199,7/3/2025,60002,2025-07-03 19:15:09 UTC,public,TRUE,FALSE
ELEC,Pine Near RV Park,316 Castle Ave,Winthrop,WA,98862,509-341-4062,E,,Public,,1,,,Non-Networked,48.476543,-120.180796,1/9/2024,60004,2024-01-31 22:07:01 UTC,public,FALSE,FALSE
ELEC,Omak Inn,912 Koala Dr,Omak,WA,98841,800-204-4800  509-826-3822,E,,Public,,1,,,Non-Networked,48.421424,-119.503978,1/9/2024,60005,2024-01-31 22:07:01 UTC,public,FALSE,FALSE
ELEC,59er Diner,15361 US 2,Leavenworth,WA,98826,509-763-2267,E,,Public,,1,,,Non-Networked,47.758434,-120.742416,1/9/2024,60006,2024-01-31 22:07:01 UTC,public,FALSE,FALSE
ELEC,PARKMETRO1 PARK METRO #1,11101 NE 12th St,Bellevue,WA,98004,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.620793,-122.192469,2/1/2026,60241,2026-02-01 01:02:34 UTC,public,FALSE,FALSE
ELEC,VALLEY MED CTR MAIN LOT #8,4109-4251 Talbot Rd S,Renton,WA,98055,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.443123,-122.212538,2/1/2026,60331,2026-02-01 01:01:50 UTC,public,FALSE,FALSE
ELEC,Haselwood Chevrolet Buick GMC,501 W Hills Blvd,Bremerton,WA,98312,360-479-4910,E,,Public,,2,,,Non-Networked,47.557801,-122.675335,7/3/2025,60718,2025-07-03 19:15:09 UTC,public,TRUE,FALSE
ELEC,Lakeside 24 Hour Fuel,16835 Lewis River Rd,Cougar,WA,98616,360-238-5202,E,,Public,,1,,,Non-Networked,46.051228,-122.301754,6/6/2025,60814,2025-06-06 18:42:11 UTC,public,FALSE,FALSE
ELEC,Kitsap Transit Harborside Garage,60 Washington Ave,Bremerton,WA,98337,855-885-9571,E,,Public,,4,,,OpConnect,47.56358,-122.62531,2/1/2026,61877,2026-02-01 04:47:48 UTC,public,FALSE,FALSE
ELEC,Mount Rainier National Park,Highway 706 E,Longmire,WA,98397,,E,,Private - Government only,,1,,,Non-Networked,46.761214,-122.040397,1/13/2026,61947,2026-01-13 01:16:14 UTC,private,,TRUE
ELEC,Mount Rainier National Park,55210 238th Ave E,Ashford,WA,98304,,E,,Private - Government only,,1,,,Non-Networked,46.755816,-122.120894,1/13/2026,61948,2026-01-13 01:16:14 UTC,private,,TRUE
ELEC,Semiahmoo Resort,9565 Semiahmoo Pkwy,Blaine,WA,98230,360-318-2000,E,,Public,,1,,,Non-Networked,48.989751,-122.773271,11/13/2025,62286,2025-11-13 20:02:17 UTC,public,TRUE,FALSE
ELEC,Best Western Plus - Heritage Inn,151 E McLeod Rd,Bellingham,WA,98226,360-647-1912,E,,Public,,1,,,Non-Networked,48.783478,-122.484131,7/3/2025,62692,2025-07-03 19:15:09 UTC,public,TRUE,FALSE
ELEC,UDR TEN20 #1,1020 108th Ave NE,Bellevue,WA,98004,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.61984,-122.19603,2/1/2026,62728,2026-02-01 01:03:45 UTC,public,FALSE,FALSE
ELEC,City of Chelan,137 E Johnson Ave,Chelan,WA,98816,509-682-8019,E,,Public,,2,,,Non-Networked,47.840838,-120.018402,1/9/2024,62973,2024-01-31 22:07:01 UTC,public,FALSE,FALSE
ELEC,LCC LCC H&S #1,1810 Maple Street,Longview,WA,98632,888-758-4389,E,,Public,,2,,,ChargePoint Network,46.141922,-122.940192,2/1/2026,63088,2026-02-01 01:02:47 UTC,public,FALSE,FALSE
ELEC,UWMC UWMC #1,3100 Northup Way,Bellevue,WA,98004,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.638269,-122.191294,2/1/2026,63110,2026-02-01 01:03:17 UTC,public,FALSE,FALSE
ELEC,UWMC 4245 UWMC 4245 #1,4245 Roosevelt Ave NE,Seattle,WA,98105,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.658961,-122.3185,2/1/2026,63313,2026-02-01 01:04:53 UTC,public,FALSE,FALSE
ELEC,UWMC 4225 UWMC 4225 #1,4225 Roosevelt Way NE,Seattle,WA,98105,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.658409,-122.318392,2/1/2026,63338,2026-02-01 01:04:42 UTC,public,FALSE,FALSE
ELEC,Town Nissan,555 3rd St SE,East Wenatchee,WA,98802,509-662-5125,E,,Public - Call ahead,,1,1,,Non-Networked,47.400716,-120.278842,1/13/2026,63444,2026-01-13 01:16:14 UTC,public,FALSE,FALSE
ELEC,MAIN HOSPITAL SILVER PARKING,11300-11398 128th Ave NE,Kirkland,WA,98034,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.716056,-122.179455,2/1/2026,63780,2026-02-01 01:04:20 UTC,public,FALSE,FALSE
ELEC,MAIN HOSPITAL DEYOUNG1,12039 NE 128th St,Kirkland,WA,98034,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.714435,-122.179399,2/1/2026,63781,2026-02-01 01:04:20 UTC,public,FALSE,FALSE
ELEC,MAIN HOSPITAL BLUE PARKING,12040 NE 128th St,Kirkland,WA,98034,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.714793,-122.176869,2/1/2026,63782,2026-02-01 01:04:20 UTC,public,FALSE,FALSE
ELEC,Leskovar Mitsubishi,3020 W Clearwater Ave,Kennewick,WA,99336,509-783-6141,E,,Public - Call ahead,,3,,,Non-Networked,46.213233,-119.162367,11/13/2025,64135,2025-11-13 20:02:17 UTC,public,TRUE,FALSE
ELEC,Mellisoni Vineyard,3155 US 97A,Chelan,WA,98816,509-293-1891,E,,Public,,1,,,Non-Networked,47.83522282,-120.0689834,1/9/2024,64500,2024-01-31 22:07:01 UTC,public,FALSE,FALSE
ELEC,Snoqualmie Casino,37500 SE N Bend,Issaquah,WA,98065,425-888-1234,E,,Public,,8,,,Non-Networked,47.519113,-121.841787,7/3/2025,65414,2025-07-03 19:15:09 UTC,public,TRUE,FALSE
ELEC,WCEH Wenatchee,200 N Columbia St,Wenatchee,WA,98801,866-300-3827,E,,Public,,1,2,,EVCS,47.427713,-120.312139,2/1/2026,65859,2026-02-01 05:47:28 UTC,public,FALSE,FALSE
ELEC,WCEH Centralia,817 Harrison Avenue,Centralia,WA,98531,866-300-3827,E,,Public,,1,2,,EVCS,46.7252937,-122.9742834,2/1/2026,65861,2026-02-01 05:47:22 UTC,public,FALSE,FALSE
ELEC,WCEH Bellingham,222 36th St,Bellingham,WA,98225,866-300-3827,E,,Public,,1,2,,EVCS,48.731184,-122.4712335,2/1/2026,65862,2026-02-01 05:47:23 UTC,public,FALSE,FALSE
ELEC,WCEH Castle Rock,204 Cowlitz Street West,Castle Rock,WA,98511,866-300-3827,E,,Public,,1,2,,EVCS,46.2757149,-122.910486,2/1/2026,65864,2026-02-01 05:47:23 UTC,public,FALSE,FALSE
ELEC,WCEH Burlington,448 Fashion Way,Burlington,WA,98233,866-300-3827,E,,Public,,1,1,,EVCS,48.4554794,-122.3407875,2/1/2026,65865,2026-02-01 05:47:22 UTC,public,FALSE,FALSE
ELEC,WCEH Ridgefield,"6370 N 1st Circle,",Ridgefield,WA,98642,866-300-3827,E,,Public,,1,2,,EVCS,45.8176127,-122.683566,2/1/2026,65866,2026-02-01 05:47:22 UTC,public,FALSE,FALSE
ELEC,WCEH Skykomish,148 5th St N,Skykomish,WA,98288,866-300-3827,E,,Public,,1,1,,EVCS,47.7111533,-121.360832,2/1/2026,65869,2026-02-01 05:47:28 UTC,public,FALSE,FALSE
ELEC,525 NORTHGATE RETAIL #1,525 NE Northgate Way,Seattle,WA,98125,888-758-4389,T,1/26/2026,TEMPORARILY UNAVAILABLE (Public),,2,,,ChargePoint Network,47.707951,-122.321496,2/1/2026,66221,2026-02-01 01:06:57 UTC,public,FALSE,FALSE
ELEC,Power Trip Energy Corp,83 Denny Ave,Port Townsend,WA,98368,360-643-3080,E,,Public,,2,,,Non-Networked,48.093634,-122.813252,10/11/2024,66418,2025-02-12 00:16:32 UTC,public,FALSE,FALSE
ELEC,GreenPod Development,1531 W Sims Way,Port Townsend,WA,98368,360-358-5614,E,,Public,,2,,,Non-Networked,48.103061,-122.794143,10/11/2024,66421,2025-02-12 00:16:32 UTC,public,FALSE,FALSE
ELEC,Windermere Real Estate,1220 Water St,Port Townsend,WA,98368,360-385-9344,E,,Public - Call ahead,,1,,,Non-Networked,48.113018,-122.760544,10/11/2024,66422,2025-02-12 00:16:32 UTC,public,FALSE,FALSE
ELEC,SIA W GARAGE F.1 #1,9000 W Airport Dr,Spokane,WA,99224,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.625092,-117.53956,2/1/2026,66622,2026-02-01 01:09:08 UTC,public,FALSE,FALSE
ELEC,MAIN HOSPITAL SILVER #2,12001-12099 NE 130th Ln,Kirkland,WA,98034,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.716066,-122.179613,2/1/2026,66645,2026-02-01 01:07:27 UTC,public,FALSE,FALSE
ELEC,WINSLOW WAY WINSLOW #1,232-240 Winslow Way E,Bainbridge Island,WA,98110,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.624921,-122.51934,2/1/2026,66696,2026-02-01 01:07:13 UTC,public,FALSE,FALSE
ELEC,The Co-op Farm and Garden,216 E Washington St,Sequim,WA,98382,360-683-4111,E,,Public,,1,,,Non-Networked,48.079897,-123.098996,11/13/2025,67125,2025-11-13 20:02:17 UTC,public,FALSE,FALSE
ELEC,VISITOR GARAGE PEDESTAL UNIT,1201 Pacific Ave,Tacoma,WA,98402,888-758-4389,E,,Public,,1,,,ChargePoint Network,47.252117,-122.437452,2/1/2026,67692,2026-02-01 01:09:38 UTC,public,FALSE,FALSE
ELEC,Banks Lake Brew and Bistro,695 N 2nd St,Coulee City,WA,99115,509-632-5510,E,,Public,,1,,,Non-Networked,47.616684,-119.287843,1/9/2024,68846,2024-01-31 22:07:01 UTC,public,FALSE,FALSE
ELEC,VM CHARGERS VIRGINIA MASON2,1012 Terry Ave,Seattle,WA,98101,888-758-4389,E,,Public,,1,,,ChargePoint Network,47.609528,-122.326393,2/1/2026,68940,2026-02-01 01:09:53 UTC,public,FALSE,FALSE
ELEC,INSIGNIA 953 EV216,588 Bell St,Seattle,WA,98121,888-758-4389,E,,Public,,1,,,ChargePoint Network,47.616552,-122.342727,2/1/2026,69853,2026-02-01 01:11:28 UTC,public,FALSE,FALSE
ELEC,UWB CASCADIA CC TRULY HOUSE #1,18140 Campus Way NE,Bothell,WA,98011,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.759501,-122.193075,2/1/2026,70092,2026-02-01 01:12:06 UTC,public,FALSE,FALSE
ELEC,UWB CASCADIA CC SOUTH L 3 N,11237-11299 NE 180th St,Bothell,WA,98011,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.757842,-122.190719,2/1/2026,70095,2026-02-01 01:09:54 UTC,public,FALSE,FALSE
ELEC,Best Western Plus - Tacoma Dome Hotel,2611 East E St,Tacoma,WA,98421,253-272-7737,E,,Public - Card key after hours,,2,,,Non-Networked,47.238785,-122.426722,6/13/2024,71774,2025-02-12 00:16:32 UTC,public,TRUE,FALSE
ELEC,ESSEX SAMMAMISH VIEW,16160 SE Eastgate Way,Bellevue,WA,98008,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.577051,-122.125164,2/1/2026,71918,2026-02-01 01:11:34 UTC,public,FALSE,FALSE
ELEC,MADISON GARAGE MADISON GARAGE2,1229 Madison St,Seattle,WA,98104,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.610087,-122.322114,2/1/2026,72656,2026-02-01 01:11:05 UTC,public,FALSE,FALSE
ELEC,SIA CELL LOT,8909 W Airport Dr,Spokane,WA,99224,888-758-4389,T,1/29/2026,TEMPORARILY UNAVAILABLE (Public),,2,,,ChargePoint Network,47.630989,-117.540534,2/1/2026,73219,2026-02-01 01:11:34 UTC,public,FALSE,FALSE
ELEC,WCEH Tumwater,6131 Capital Blvd,Tumwater,WA,98501,866-300-3827,E,,Public,,1,2,,EVCS,46.993561,-122.907761,2/1/2026,73412,2026-02-01 05:47:21 UTC,public,FALSE,FALSE
ELEC,WCEH Leavenworth,700 US Hwy 2,Leavenworth,WA,98826,866-300-3827,E,,Public,,1,2,,EVCS,47.5955952,-120.6642262,2/1/2026,73413,2026-02-01 05:47:29 UTC,public,FALSE,FALSE
ELEC,WCEH Sultan,320 Main St,Sultan,WA,98294,866-300-3827,E,,Public,,1,1,,EVCS,47.8621458,-121.8166013,2/1/2026,73415,2026-02-01 05:47:22 UTC,public,FALSE,FALSE
ELEC,WCEH Cle Elum,3600 Suncadia Trail,Cle Elum,WA,98922,866-300-3827,E,,Public,,1,6,,EVCS,47.207769,-121.0193577,2/1/2026,73431,2026-02-01 05:47:28 UTC,public,FALSE,FALSE
ELEC,WCEH Snoqualmie,519 SR 906,Snoqualmie Pass,WA,98068,866-300-3827,E,,Public,,1,2,,EVCS,47.4231982,-121.4126014,2/1/2026,73433,2026-02-01 05:47:28 UTC,public,FALSE,FALSE
ELEC,Bedrooms & More,300 NE 45th St,Seattle,WA,98105,206-633-4505,E,,Public,,1,,,Non-Networked,47.66159,-122.324877,7/3/2025,74301,2025-07-03 19:15:09 UTC,public,TRUE,FALSE
ELEC,UWB CASCADIA CC UW PLANT,1125 NE 180th Street,Bothell,WA,98011,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.757747,-122.191662,2/1/2026,74717,2026-02-01 01:11:19 UTC,public,FALSE,FALSE
ELEC,SAFECO PLAZA SAFECO PLAZA #1,1001 4th Ave Safeco Plaza,Seattle,WA,98154,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.606106,-122.333782,2/1/2026,75391,2026-02-01 01:13:43 UTC,public,FALSE,FALSE
ELEC,City of Tacoma - Fleet Operations,3639 S Pine St,Tacoma,WA,98409,,E,,Private,,1,,,Non-Networked,47.225367,-122.47265,8/10/2023,75723,2025-10-14 15:52:47 UTC,private,,FALSE
ELEC,Lee Johnson Nissan of Kirkland,11930 124th Ave NE,Kirkland,WA,98034,425-821-1400,E,,Public,,1,,,Non-Networked,47.707294,-122.174855,2/12/2024,75997,2025-02-12 00:16:32 UTC,public,FALSE,FALSE
ELEC,Lee Johnson Nissan of Kirkland,11930 124th Ave NE,Kirkland,WA,98034,425-821-1400,E,,Private,,1,,,Non-Networked,47.707294,-122.174855,2/12/2024,76084,2025-02-12 00:16:32 UTC,private,,FALSE
ELEC,Washington Department of Transportation - Parking Garage,310 Maple Park Ave SE,Olympia,WA,98501,,E,,Private,,,1,,Non-Networked,47.034344,-122.89857,9/14/2023,76251,2025-10-10 13:16:56 UTC,private,,TRUE
ELEC,MI SCHOOLS NORTHWOOD #1,4030 86th Ave SE,Mercer Island,WA,98040,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.573641,-122.223648,2/1/2026,76839,2026-02-01 01:14:40 UTC,public,FALSE,FALSE
ELEC,TRANS SERVICES TERRELL,Terrell Parking Garage Cougar Way,Pullman,WA,99163,888-758-4389,E,,Public,,2,,,ChargePoint Network,46.732394,-117.164374,2/1/2026,76857,2026-02-01 01:14:57 UTC,public,FALSE,FALSE
ELEC,TRANS SERVICES SCUE,Smith Center Parking Garage Stadium Way,Pullman,WA,99163,888-758-4389,E,,Public,,2,,,ChargePoint Network,46.729675,-117.161393,2/1/2026,76858,2026-02-01 01:14:49 UTC,public,FALSE,FALSE
ELEC,WASHINGTON ST LACONNER #1,100 Washington Ave,La Conner,WA,98257,888-758-4389,E,,Public,,2,,,ChargePoint Network,48.391109,-122.496837,2/1/2026,76993,2026-02-01 01:15:29 UTC,public,FALSE,FALSE
