lat,lon,time_range,flag,geartype,vessel_ids,apparent_fishing_hours,effort_index,fuel_consumption,catch_value_usd,crew_size
-7.6,-79.6,2023-02,PER,other_purse_seines,1,3.94,1.81,1.14,27.17,8.6
-10.9,-77.8,2023-01,PER,purse_seines,1,1.01,11.13,10.24,14.33,7.0
-16.4,-75.4,2023-03,PER,set_longlines,1,5.17,6.32,4.89,12.41,8.1
-7.4,-79.8,2023-01,PER,other_purse_seines,55,27.3905,33.7,31.23,51.12,10.5
-13.9,-78.2,2023-02,ECU,tuna_purse_seines,1,0.13,3.9,6.74,5.91,7.6
-12.0,-78.4,2023-03,PER,other_purse_seines,1,0.1,1.66,0.0,2.08,
-9.1,-78.7,2023-01,,other_purse_seines,1,3.0,15.67,8.3,24.14,8.3
-13.0,-76.7,2023-02,,other_purse_seines,1,0.18,4.55,8.83,5.68,6.7
-8.2,-79.4,2023-01,PER,other_purse_seines,32,27.3905,29.17,27.41,189.2,8.9
-14.6,-77.5,2023-03,PER,other_purse_seines,5,4.85,11.76,15.63,33.94,7.3
-9.3,-78.8,2023-01,PER,other_purse_seines,3,1.96,8.83,12.51,26.34,7.9
-4.5,-82.3,2023-02,PER,other_purse_seines,1,0.13,0.0,6.48,6.43,7.0
-10.7,-78.1,2023-02,PER,purse_seines,1,2.04,8.25,2.62,6.04,6.5
-13.5,-77.7,2023-01,PER,pole_and_line,1,0.31,4.6,8.25,5.56,7.5
-14.6,-77.0,2023-03,AIA,purse_seines,1,0.31,7.42,10.86,4.51,7.1
-14.5,-76.2,2023-01,PER,other_purse_seines,6,9.65,17.29,20.16,85.98,7.8
-15.3,-77.1,2023-02,PER,tuna_purse_seines,1,7.97,12.74,10.6,34.71,7.4
-14.1,-77.6,2023-01,PER,set_gillnets,1,3.02,5.79,11.14,16.3,8.0
-11.5,-78.3,2023-02,PER,purse_seines,1,2.67,10.35,2.68,17.15,6.7
-7.1,-79.8,2023-01,PER,pole_and_line,1,3.22,8.72,7.95,36.07,7.3
-9.3,-82.5,2023-02,PER,tuna_purse_seines,1,8.9,8.2,8.89,73.6,7.6
-12.3,-78.7,2023-02,PER,pole_and_line,1,5.96,8.51,16.28,35.28,8.1
-9.7,-78.4,2023-01,PER,other_purse_seines,10,17.38,21.3,21.81,59.19,9.2
-10.3,-78.2,2023-03,PER,other_purse_seines,1,1.5,4.67,2.48,12.12,8.5
-15.7,-78.1,2023-02,PER,tuna_purse_seines,1,0.32,12.93,11.76,11.47,7.1
-7.4,-80.0,2023-01,AIA,purse_seines,1,1.92,4.7,0.0,27.0,6.8
-13.1,-77.7,2023-02,PER,other_purse_seines,1,0.98,6.87,3.45,7.0,7.1
-7.0,-80.1,2023-01,PER,tuna_purse_seines,5,15.8,27.59,19.16,69.43,8.7
-14.9,-77.7,2023-02,HND,other_purse_seines,1,3.85,10.13,10.58,6.79,8.8
-15.5,-77.4,2023-02,PER,tuna_purse_seines,1,1.48,7.25,1.38,8.29,7.6
-7.5,-79.7,2023-02,PER,purse_seines,1,2.41,11.52,4.97,19.74,7.9
-6.8,-80.2,2023-02,PER,other_purse_seines,3,7.92,13.45,12.13,27.24,7.8
-6.8,-80.9,2023-01,PER,tuna_purse_seines,1,1.72,6.59,3.24,10.39,7.0
-7.8,-79.8,2023-01,HND,other_purse_seines,1,3.59,10.53,13.05,24.24,8.2
-15.4,-77.5,2023-02,GBR,other_purse_seines,1,4.0,9.95,17.14,28.71,8.2
-12.0,-77.2,2023-01,PER,fishing,2,5.01,6.96,12.7,28.39,7.2
-15.6,-76.0,2023-03,PER,other_purse_seines,1,6.88,7.19,14.63,48.68,8.1
-14.1,-77.0,2023-03,AIA,purse_seines,1,1.08,4.76,0.0,8.9,7.4
-15.3,-78.2,2023-02,ECU,tuna_purse_seines,1,4.98,14.73,11.43,46.53,8.2
-8.3,-79.3,2023-01,PER,other_purse_seines,25,27.3905,33.28,38.98,83.36,10.5
-15.3,-76.7,2023-02,PER,other_purse_seines,9,14.69,24.47,26.03,131.56,8.0
-7.5,-80.2,2023-01,PER,other_purse_seines,1,0.01,5.56,7.05,4.35,7.7
-10.8,-77.9,2023-01,PER,purse_seines,3,9.03,12.77,7.06,102.18,7.4
-9.1,-78.7,2023-03,PER,other_purse_seines,1,0.63,0.0,6.2,16.38,7.3
-13.0,-77.8,2023-02,PER,set_gillnets,1,2.64,7.74,17.66,23.7,7.4
-8.0,-79.3,2023-01,PER,fishing,2,1.66,4.79,2.81,9.53,8.5
-7.3,-79.7,2023-03,PER,other_purse_seines,1,0.56,0.0,0.0,4.62,7.2
-9.2,-78.9,2023-01,PER,other_purse_seines,3,2.13,8.27,9.19,27.59,6.9
-12.9,-77.9,2023-02,PER,fishing,1,2.81,7.0,8.15,8.84,6.9
-16.2,-78.3,2023-02,ECU,tuna_purse_seines,1,1.22,6.75,6.78,12.51,6.9
-11.9,-77.4,2023-01,PER,other_purse_seines,28,27.3905,31.86,38.07,100.48,10.3
-14.1,-77.0,2023-03,PER,other_purse_seines,1,2.13,7.1,1.93,6.29,7.5
-16.2,-77.9,2023-02,ECU,tuna_purse_seines,1,2.61,5.09,10.52,16.76,8.8
-9.8,-78.3,2023-01,PER,other_purse_seines,7,6.21,14.83,8.22,49.05,7.7
-14.8,-77.7,2023-02,PER,other_purse_seines,8,14.54,20.46,13.62,99.26,7.9
-14.3,-77.2,2023-02,PER,pole_and_line,1,4.76,3.97,12.46,11.29,7.9
-6.6,-80.4,2023-01,PER,tuna_purse_seines,1,1.44,6.39,10.93,6.12,
-16.1,-74.9,2023-03,PER,other_purse_seines,1,3.07,7.63,10.09,26.85,
-6.6,-80.8,2023-01,PER,purse_seines,5,16.45,21.33,25.86,153.78,8.2
-17.4,-71.5,2023-02,PER,other_purse_seines,2,1.78,0.89,9.13,10.7,7.4
-14.5,-78.9,2023-03,ECU,tuna_purse_seines,1,0.42,8.44,10.43,18.96,7.9
-9.2,-81.6,2023-03,ECU,tuna_purse_seines,1,0.06,1.32,0.89,6.07,9.7
-14.8,-77.1,2023-03,AIA,purse_seines,1,1.77,11.89,13.44,27.3,9.7
-10.3,-78.4,2023-01,PER,other_purse_seines,1,0.52,2.09,0.0,19.7,6.9
-14.4,-77.2,2023-02,,pole_and_line,1,0.58,4.76,6.65,11.52,6.8
-6.6,-80.4,2023-01,PER,purse_seines,3,4.96,9.29,1.9,17.91,7.2
-4.7,-81.5,2023-02,PER,other_purse_seines,1,1.75,6.49,7.58,30.19,
-8.1,-79.4,2023-01,PER,other_purse_seines,61,27.3905,44.05,42.15,64.29,9.3
-17.9,-71.3,2023-01,PER,other_purse_seines,1,8.77,11.78,12.66,63.65,7.6
-14.3,-77.5,2023-01,PER,set_gillnets,1,0.89,12.75,3.59,3.81,7.3
-6.1,-81.3,2023-01,PER,purse_seines,1,0.39,6.77,0.0,4.03,8.1
-6.9,-80.8,2023-01,PER,tuna_purse_seines,1,0.11,1.51,6.31,4.33,6.7
-14.2,-77.2,2023-01,PER,set_gillnets,1,0.16,8.89,4.18,1.65,6.4
-15.2,-76.0,2023-03,PER,other_purse_seines,1,3.99,11.55,14.21,15.37,7.3
-16.5,-76.7,2023-03,PER,fishing,1,9.96,18.54,16.79,25.29,8.9
-12.6,-76.8,2023-02,,other_purse_seines,1,1.56,0.71,2.14,9.33,8.6
-12.2,-79.5,2023-02,PER,tuna_purse_seines,1,3.23,9.44,0.0,20.43,7.9
-6.7,-80.7,2023-01,PER,purse_seines,4,9.15,12.55,17.07,118.81,7.7
-14.5,-76.9,2023-03,PER,other_purse_seines,5,19.26,24.65,26.4,138.75,8.8
-10.7,-77.9,2023-01,PER,other_purse_seines,15,27.3905,33.64,32.79,284.47,
-9.4,-78.6,2023-02,PER,other_purse_seines,5,4.49,9.09,5.72,24.67,
-16.1,-77.8,2023-02,ECU,tuna_purse_seines,1,5.0,15.47,5.64,47.74,7.9
-9.1,-79.1,2023-02,PER,other_purse_seines,1,5.22,11.16,6.24,26.58,7.6
-15.3,-77.1,2023-03,PER,other_purse_seines,9,20.71,19.86,29.78,221.0,10.1
-7.6,-79.8,2023-01,HND,other_purse_seines,1,0.74,9.49,8.98,3.78,7.6
-6.6,-80.9,2023-01,PER,tuna_purse_seines,7,14.33,20.09,27.19,47.94,8.6
-17.0,-72.3,2023-02,PER,fishing,1,0.26,4.78,7.99,7.47,7.9
-5.0,-81.8,2023-02,PER,other_purse_seines,1,2.97,0.41,1.67,14.66,9.3
-15.4,-77.4,2023-02,AIA,purse_seines,1,1.43,7.07,8.34,5.72,8.0
-6.9,-80.3,2023-01,PER,fishing,1,2.83,5.24,0.0,44.53,7.3
-6.9,-80.3,2023-01,PER,tuna_purse_seines,5,16.1,25.3,29.74,75.19,8.4
-7.9,-79.4,2023-01,HND,other_purse_seines,1,0.49,6.25,4.83,8.23,6.8
-12.0,-80.9,2023-02,ECU,tuna_purse_seines,1,2.0,9.31,8.17,14.36,7.1
-14.3,-77.2,2023-02,,pole_and_line,1,9.11,12.62,14.79,24.61,8.4
-12.7,-76.9,2023-01,PER,inconclusive,1,4.45,2.03,6.17,39.52,7.3
-14.6,-77.5,2023-02,PER,tuna_purse_seines,1,2.02,9.86,9.2,31.83,6.8
-17.3,-71.8,2023-01,,other_purse_seines,2,0.73,6.38,5.62,10.12,7.0
-12.2,-78.5,2023-02,PER,pole_and_line,1,1.1,3.97,1.6,18.25,7.2
-7.1,-79.9,2023-01,PER,pole_and_line,1,4.39,6.74,6.4,23.73,7.4
-10.3,-81.6,2023-03,ECU,tuna_purse_seines,1,0.06,0.74,0.0,12.24,6.5
-10.4,-79.0,2023-02,PER,other_purse_seines,1,0.1,0.0,3.33,6.94,7.5
-12.9,-77.7,2023-02,PER,other_purse_seines,2,2.2,2.0,0.0,17.7,8.0
-10.1,-78.5,2023-02,PER,other_purse_seines,2,3.21,7.27,10.47,10.48,6.9
-14.8,-77.2,2023-02,PER,other_purse_seines,2,5.88,16.51,11.48,30.63,7.6
-12.9,-76.6,2023-02,,other_purse_seines,1,0.07,5.78,2.81,4.94,8.2
-8.3,-79.5,2023-02,PER,other_purse_seines,8,19.99,32.01,21.45,163.29,8.8
-6.4,-81.0,2023-03,PER,other_purse_seines,1,1.04,1.35,3.22,10.37,8.8
-7.5,-79.8,2023-02,PER,other_purse_seines,17,27.3905,38.85,34.1,327.03,8.9
-8.6,-80.0,2023-03,PER,other_purse_seines,1,0.6,3.1,5.13,12.74,8.1
-14.6,-77.5,2023-02,GBR,other_purse_seines,1,5.46,15.51,13.3,16.63,7.3
-13.0,-76.8,2023-03,PER,other_purse_seines,1,4.03,13.04,10.6,9.88,7.5
-8.0,-79.7,2023-02,AIA,purse_seines,1,2.3,6.66,9.52,29.41,7.4
-9.2,-80.5,2023-03,PER,other_purse_seines,2,4.63,9.6,7.46,25.49,8.2
-10.0,-78.3,2023-01,PER,fishing,1,2.08,10.86,6.9,10.75,7.1
-18.1,-71.0,2023-01,,other_purse_seines,1,0.76,1.85,0.36,10.28,6.6
-8.5,-79.6,2023-01,HND,other_purse_seines,1,2.56,0.0,2.08,19.98,7.6
-15.0,-75.6,2023-01,PER,other_purse_seines,3,10.29,18.39,15.73,49.01,9.0
-16.8,-76.8,2023-03,PER,tuna_purse_seines,2,3.64,16.18,15.61,14.44,8.0
-14.0,-76.3,2023-03,PER,pole_and_line,1,1.09,0.0,4.97,15.11,6.6
-11.0,-78.1,2023-01,PER,other_purse_seines,2,1.95,6.93,5.01,10.24,9.0
-8.5,-82.9,2023-03,ECU,tuna_purse_seines,1,0.31,0.0,0.0,5.56,7.4
-9.8,-78.4,2023-01,PER,purse_seines,8,21.2448,26.28,25.87,107.98,
-9.2,-79.7,2023-03,PER,other_purse_seines,1,0.6,0.91,5.09,5.34,7.2
-14.0,-76.5,2023-03,PER,pole_and_line,1,0.14,7.44,4.79,3.03,8.0
-17.3,-77.8,2023-03,,purse_seines,1,1.48,3.58,3.41,12.78,7.4
-15.3,-77.1,2023-03,AIA,purse_seines,1,3.28,6.88,1.91,19.77,7.2
-4.7,-82.1,2023-02,PER,other_purse_seines,1,3.06,3.3,10.09,16.54,7.0
-14.5,-77.1,2023-02,PER,pole_and_line,1,1.18,8.05,4.82,12.97,
-14.3,-76.6,2023-01,PER,purse_seines,1,0.41,2.54,3.5,8.6,6.9
-10.0,-78.9,2023-02,PER,other_purse_seines,1,1.63,4.37,9.7,10.89,6.7
-11.6,-77.7,2023-03,PER,other_purse_seines,1,0.82,4.62,0.0,5.2,7.5
-11.8,-77.4,2023-01,PER,purse_seines,5,4.99,4.04,5.4,18.47,8.8
-9.1,-78.6,2023-03,PER,tuna_purse_seines,2,20.68,26.67,31.71,306.4,8.5
-12.0,-77.2,2023-01,PER,pole_and_line,2,19.53,19.43,17.6,40.4,8.2
-9.6,-78.6,2023-01,PER,purse_seines,4,7.25,11.16,8.35,67.81,7.3
-12.0,-77.2,2023-01,SSD,tuna_purse_seines,1,0.42,3.64,2.88,16.16,7.1
-10.8,-78.2,2023-01,AIA,purse_seines,1,4.88,7.87,8.09,49.06,10.4
-7.4,-79.8,2023-01,PER,fishing,1,2.17,5.64,4.69,11.85,7.3
-12.4,-76.9,2023-01,PER,tuna_purse_seines,1,1.14,2.72,3.68,6.05,
-12.2,-78.6,2023-03,PER,pole_and_line,1,0.96,6.97,1.58,9.76,9.3
-12.1,-77.7,2023-02,PER,other_purse_seines,1,0.38,4.41,0.82,5.56,6.5
-11.1,-78.3,2023-01,PER,other_purse_seines,2,1.33,3.69,3.11,13.62,7.5
-15.2,-77.5,2023-02,PER,tuna_purse_seines,1,1.68,4.99,3.52,11.42,7.1
-8.4,-79.2,2023-03,PER,other_purse_seines,1,2.74,4.47,11.22,7.01,7.7
-17.2,-71.9,2023-02,,other_purse_seines,1,5.76,9.86,9.23,14.6,9.1
-13.0,-76.7,2023-01,PER,pole_and_line,1,1.73,4.73,7.21,10.77,7.0
-14.9,-77.5,2023-03,PER,other_purse_seines,1,3.24,0.8,10.12,16.77,7.2
-7.0,-80.2,2023-01,PER,other_purse_seines,17,21.2448,33.55,31.48,170.65,8.6
-11.1,-77.9,2023-01,PER,other_purse_seines,2,1.18,3.63,4.64,9.7,7.7
-13.6,-79.5,2023-02,PER,tuna_purse_seines,1,1.28,2.89,1.84,8.76,8.2
-6.3,-80.9,2023-01,PER,tuna_purse_seines,5,8.11,14.05,14.17,89.48,7.8
-9.9,-78.3,2023-01,PER,purse_seines,2,0.65,0.0,0.0,2.76,7.3
-8.5,-79.1,2023-01,PER,fishing,2,0.79,3.38,4.41,4.72,10.8
-11.6,-77.7,2023-01,PER,set_longlines,1,2.06,7.42,11.33,13.84,6.5
-12.3,-76.9,2023-01,PER,fishing,1,0.25,3.28,0.0,3.04,7.4
-7.0,-80.9,2023-03,PER,other_purse_seines,1,1.56,5.96,8.28,15.79,8.8
-8.6,-79.0,2023-03,PER,inconclusive,1,1.7,4.2,8.8,15.99,7.2
-5.9,-82.1,2023-02,PER,other_purse_seines,1,0.12,2.75,0.0,2.7,6.9
-9.9,-78.5,2023-01,PER,purse_seines,2,2.07,6.12,12.12,9.93,
-17.6,-71.6,2023-02,PER,other_purse_seines,1,1.2,5.89,5.73,11.5,7.0
-6.8,-82.6,2023-03,ECU,tuna_purse_seines,1,0.22,0.13,4.93,2.07,7.3
-12.3,-77.2,2023-01,PER,inconclusive,1,1.04,6.19,8.67,12.48,7.7
-5.4,-81.3,2023-01,PER,other_purse_seines,1,0.91,6.12,8.53,6.81,7.7
-12.3,-79.1,2023-02,PER,tuna_purse_seines,1,3.01,4.99,7.3,11.48,6.7
-8.0,-79.4,2023-01,,other_purse_seines,3,18.62,22.33,25.96,69.41,8.2
-7.2,-79.9,2023-01,PER,other_purse_seines,36,21.2448,27.81,30.52,157.88,9.2
-14.5,-76.1,2023-01,,other_purse_seines,1,5.35,14.25,8.91,45.48,8.6
-15.2,-76.6,2023-03,,pole_and_line,1,3.85,12.32,16.37,25.71,9.5
-6.6,-81.7,2023-02,PER,other_purse_seines,1,0.28,1.18,0.42,8.66,7.6
-9.1,-78.6,2023-02,PER,other_purse_seines,17,21.2448,25.33,27.6,112.4,8.8
-15.3,-76.6,2023-03,PER,other_purse_seines,1,2.25,4.36,2.45,9.9,8.1
-5.6,-81.1,2023-02,PER,other_purse_seines,1,8.38,14.65,21.39,17.59,8.6
-10.9,-78.0,2023-02,PER,other_purse_seines,1,0.72,4.19,10.08,6.62,8.3
-9.7,-79.4,2023-01,PER,other_purse_seines,1,0.37,5.6,6.68,6.64,6.9
-13.0,-76.7,2023-01,HND,other_purse_seines,1,3.32,12.32,15.04,17.62,8.1
-8.0,-79.5,2023-01,PER,other_purse_seines,39,21.2448,28.16,38.28,227.41,9.0
-14.5,-77.9,2023-02,PER,tuna_purse_seines,2,1.76,7.41,7.87,13.07,8.5
-9.5,-78.8,2023-02,PER,other_purse_seines,2,1.65,7.06,12.27,13.8,7.0
-11.9,-77.4,2023-01,PER,purse_seines,1,0.34,1.43,4.91,20.4,8.1
-17.8,-71.3,2023-01,PER,other_purse_seines,2,9.58,13.87,8.12,48.62,7.5
-9.2,-82.5,2023-03,PAN,tuna_purse_seines,1,0.07,3.1,2.26,3.43,7.1
-11.0,-77.8,2023-01,,other_purse_seines,1,0.13,2.12,10.47,11.38,8.1
-7.0,-80.7,2023-01,PER,other_purse_seines,1,2.87,12.71,10.71,22.9,7.7
-14.9,-77.0,2023-03,PER,other_purse_seines,1,1.13,7.22,11.68,16.67,6.6
-6.8,-82.0,2023-03,PER,other_purse_seines,1,5.02,0.0,3.47,23.57,8.5
-15.4,-77.1,2023-03,AIA,purse_seines,1,3.05,4.15,4.58,38.7,6.9
-15.9,-77.2,2023-02,ECU,tuna_purse_seines,1,2.14,5.84,10.63,26.32,6.6
-8.5,-79.1,2023-01,HND,other_purse_seines,1,2.67,6.77,12.7,27.18,7.7
-14.0,-77.4,2023-03,PER,other_purse_seines,1,0.91,1.75,3.63,3.44,7.0
-8.0,-79.3,2023-01,,other_purse_seines,3,3.5,6.46,1.97,39.15,8.0
-7.6,-80.0,2023-03,PER,other_purse_seines,1,0.18,2.56,0.0,3.23,9.4
-9.4,-81.3,2023-01,PER,tuna_purse_seines,1,4.09,6.57,12.34,53.01,7.2
-10.0,-78.4,2023-02,PER,other_purse_seines,9,18.7,26.78,27.74,120.57,8.0
-8.0,-79.5,2023-01,,other_purse_seines,2,0.34,4.02,2.55,6.41,6.6
-9.0,-78.8,2023-01,,other_purse_seines,1,0.32,2.06,5.92,7.47,8.9
-8.9,-79.9,2023-01,PER,other_purse_seines,1,2.7,5.7,9.37,7.6,8.6
-9.9,-78.4,2023-01,PER,purse_seines,10,21.2448,27.19,33.43,60.38,
-9.8,-78.5,2023-01,PER,purse_seines,1,0.86,0.66,3.72,22.78,7.3
-12.4,-77.3,2023-03,PER,fishing,1,0.2,1.99,9.94,4.73,6.9
-15.2,-76.6,2023-03,PER,pole_and_line,1,2.08,8.4,15.7,43.53,7.7
-14.9,-77.0,2023-02,PER,tuna_purse_seines,1,1.16,8.87,6.85,10.01,7.4
-7.9,-83.1,2023-03,ECU,tuna_purse_seines,1,0.38,0.0,1.13,11.04,6.6
-8.0,-79.7,2023-02,PER,fishing,1,1.94,15.22,17.56,7.63,6.6
-7.7,-79.6,2023-02,PER,other_purse_seines,29,21.2448,24.93,31.8,393.37,9.0
-9.2,-78.8,2023-01,HND,other_purse_seines,1,0.07,7.03,6.03,3.28,7.2
-17.6,-71.6,2023-02,,other_purse_seines,1,3.32,2.48,0.0,7.13,8.6
-17.3,-77.9,2023-03,,purse_seines,1,0.45,7.09,6.61,12.76,
-15.3,-78.6,2023-03,ECU,tuna_purse_seines,1,0.07,4.17,5.06,11.77,7.2
-8.9,-82.5,2023-03,PAN,tuna_purse_seines,1,0.94,4.73,7.47,8.98,7.6
-9.8,-78.3,2023-01,PER,purse_seines,2,2.47,5.59,4.28,13.75,8.0
-8.1,-81.0,2023-02,,purse_seines,1,5.58,9.19,9.16,19.24,8.0
-9.8,-78.4,2023-01,HND,other_purse_seines,1,7.3,14.8,16.7,41.15,
-14.0,-76.4,2023-03,PER,pole_and_line,1,2.33,3.73,2.34,30.57,
-6.8,-80.6,2023-03,PER,other_purse_seines,1,1.17,4.33,2.32,20.02,7.6
-8.6,-79.6,2023-01,PER,purse_seines,1,2.22,4.96,8.28,12.19,6.8
-7.6,-79.9,2023-01,PER,other_purse_seines,27,21.2448,21.23,23.65,125.69,8.9
-8.3,-81.6,2023-02,,purse_seines,1,5.44,10.34,8.95,29.69,7.2
-8.2,-79.1,2023-02,PER,other_purse_seines,2,9.05,13.81,14.32,45.54,7.7
